Id,NamaPemain,Posisi,Club,Negara,Liga,PlayerInstruction
122,Houssem Szoboszlai,CM,Tottenham,Switzerland,Premier League,Deep Lying Playmaker
123,Lucas Gonzalez,CM,Arsenal,Portugal,Premier League,Playmaker
124,Nicolo De Paul,CM,Lille,Switzerland,Ligue 1,Deep Lying Playmaker
125,Conor Paqueta,CM,RB Leipzig,England,Bundesliga,Half Winger
126,Alexis Bissouma,CM,Athletic Club,England,La Liga,Half Winger
127,Pedri Barella,CM,Manchester City,Switzerland,Premier League,Playmaker
128,Enzo Bissouma,CM,Manchester City,Switzerland,Premier League,Deep Lying Playmaker
129,Enzo Kovacic,CM,Valencia,Spain,La Liga,Box to Box
130,Kevin Tielemans,CM,Atletico Madrid,Belgium,La Liga,Deep Lying Playmaker
131,Jude Bissouma,CM,Lille,Algeria,Ligue 1,Half Winger
132,Lucas Aouar,CM,Dortmund,Brazil,Bundesliga,Playmaker
133,Enzo De Bruyne,CM,RB Leipzig,Italy,Bundesliga,Playmaker
134,Luka Rabiot,CM,Real Madrid,Germany,La Liga,Playmaker
135,Lucas De Jong,CM,RB Leipzig,France,Bundesliga,Playmaker
136,Toni Gundogan,CM,Napoli,France,Serie A,Half Winger
137,Eduardo Goretzka,CM,Valencia,England,La Liga,Box to Box
138,Conor Bissouma,CM,Lyon,Argentina,Ligue 1,Half Winger
139,Vitinha Koopmeiners,CM,Lyon,Germany,Ligue 1,Deep Lying Playmaker
140,Eduardo Bellingham,CM,PSG,Netherlands,Ligue 1,Playmaker
141,Alexis Kovacic,CM,Lille,Spain,Ligue 1,Half Winger
142,Adrien Fernandez,CM,Girona,Algeria,La Liga,Deep Lying Playmaker
143,Houssem Gonzalez,CM,Lille,Portugal,Ligue 1,Box to Box
144,Granit Goretzka,CM,Valencia,Switzerland,La Liga,Playmaker
145,Yves Mac Allister,CM,Real Betis,Brazil,La Liga,Playmaker
146,Conor Tielemans,CM,Barcelona,Spain,La Liga,Half Winger
147,Jude Rabiot,CM,Stuttgart,Spain,Bundesliga,Half Winger
148,Leon Aouar,CM,Dortmund,Hungary,Bundesliga,Box to Box
149,Ilkay Rabiot,CM,Napoli,France,Serie A,Box to Box
150,Luka Mac Allister,CM,Girona,Belgium,La Liga,Playmaker
151,Granit Fernandez,CM,PSG,Belgium,Ligue 1,Deep Lying Playmaker
152,Granit Kroos,CM,Monaco,Germany,Ligue 1,Playmaker
153,Gavi Gundogan,CM,AC Milan,France,Serie A,Holding
154,Gavi Gallagher,CM,Lyon,Brazil,Ligue 1,Holding
155,Alexis Kroos,CM,Juventus,Portugal,Serie A,Playmaker
156,Mateo Bellingham,CM,Real Sociedad,Algeria,La Liga,Box to Box
157,Frenkie Kovacic,CM,Newcastle,Switzerland,Premier League,Playmaker
158,Rodrigo Gallagher,CM,Real Betis,Hungary,La Liga,Playmaker
159,Pedri De Jong,CM,Napoli,Belgium,Serie A,Deep Lying Playmaker
160,Eduardo Barella,CM,Brighton,Brazil,Premier League,Playmaker
161,Leon Fernandez,CM,Lyon,Algeria,Ligue 1,Box to Box
162,Kevin Zaire-Emery,CM,Nice,Spain,Ligue 1,Playmaker
163,Houssem Gonzalez,CM,Real Sociedad,Switzerland,La Liga,Deep Lying Playmaker
164,Houssem Tielemans,CM,Juventus,Netherlands,Serie A,Holding
165,Yves Camavinga,CM,Newcastle,Belgium,Premier League,Holding
166,Leon Kovacic,CM,AS Roma,Spain,Serie A,Playmaker
167,Eduardo Koopmeiners,CM,Inter Milan,Hungary,Serie A,Half Winger
168,Mateo De Bruyne,CM,Brighton,England,Premier League,Half Winger
169,Conor De Jong,CM,RB Leipzig,Mali,Bundesliga,Box to Box
170,Vitinha Aouar,CM,Nice,Portugal,Ligue 1,Deep Lying Playmaker
171,Leon Kroos,CM,Monaco,Netherlands,Ligue 1,Playmaker
172,Jude Locatelli,CM,Nice,Argentina,Ligue 1,Box to Box
173,Houssem Modric,CM,Brighton,Brazil,Premier League,Holding
174,Gavi Fernandez,CM,Lyon,Hungary,Ligue 1,Half Winger
175,Jude Koopmeiners,CM,Lille,Algeria,Ligue 1,Half Winger
176,Nicolo Kovacic,CM,Athletic Club,Hungary,La Liga,Holding
177,Dominik Fernandez,CM,Napoli,Belgium,Serie A,Half Winger
178,Rodrigo Bellingham,CM,Frankfurt,Croatia,Bundesliga,Deep Lying Playmaker
179,Houssem Modric,CM,Brest,Italy,Ligue 1,Holding
180,Adrien Kovacic,CM,Tottenham,Netherlands,Premier League,Half Winger
181,Enzo Szoboszlai,CM,Lazio,Croatia,Serie A,Playmaker
182,Lucas Tielemans,CM,Lille,Italy,Ligue 1,Box to Box
183,Enzo Kroos,CM,Athletic Club,France,La Liga,Box to Box
184,Warren Kovacic,CM,Napoli,England,Serie A,Deep Lying Playmaker
185,Dominik De Jong,CM,Lazio,Brazil,Serie A,Playmaker
186,Adrien Paqueta,CM,Frankfurt,Germany,Bundesliga,Deep Lying Playmaker
187,Eduardo Paqueta,CM,West Ham,Algeria,Premier League,Deep Lying Playmaker
188,Granit De Paul,CM,Marseille,Germany,Ligue 1,Half Winger
189,Frenkie Kovacic,CM,Valencia,Spain,La Liga,Playmaker
190,Gavi Kovacic,CM,RB Leipzig,Germany,Bundesliga,Deep Lying Playmaker
191,Alexis Mac Allister,CM,Lyon,Spain,Ligue 1,Box to Box
192,Warren Gallagher,CM,Lazio,Spain,Serie A,Deep Lying Playmaker
193,Houssem Koopmeiners,CM,Lille,France,Ligue 1,Playmaker
194,Luka Zaire-Emery,CM,Liverpool,Brazil,Premier League,Playmaker
195,Alexis Gundogan,CM,Frankfurt,Mali,Bundesliga,Playmaker
196,Leon Mac Allister,CM,Newcastle,Brazil,Premier League,Box to Box
197,Toni Gonzalez,CM,Real Betis,Germany,La Liga,Playmaker
198,Ilkay Szoboszlai,CM,Real Sociedad,Croatia,La Liga,Box to Box
199,Frenkie Kovacic,CM,RB Leipzig,France,Bundesliga,Playmaker
200,Houssem De Bruyne,CM,Lille,Italy,Ligue 1,Box to Box
201,Leon De Paul,CM,Lazio,Argentina,Serie A,Box to Box
202,Rodrigo Szoboszlai,CM,Lille,Belgium,Ligue 1,Deep Lying Playmaker
203,Rodrigo Goretzka,CM,Marseille,Brazil,Ligue 1,Half Winger
204,Leon Locatelli,CM,Bayern Munich,Argentina,Bundesliga,Deep Lying Playmaker
205,Leon Gallagher,CM,Brest,Argentina,Ligue 1,Playmaker
206,Dominik Kovacic,CM,Athletic Club,Croatia,La Liga,Deep Lying Playmaker
207,Manuel Bissouma,CM,Napoli,Argentina,Serie A,Playmaker
208,Conor Barella,CM,Atalanta,Brazil,Serie A,Playmaker
209,Granit Modric,CM,Chelsea,France,Premier League,Half Winger
210,Lucas Kroos,CM,Bologna,Switzerland,Serie A,Deep Lying Playmaker
211,Ilkay Tielemans,CM,Dortmund,Mali,Bundesliga,Box to Box
212,Lucas Szoboszlai,CM,Real Sociedad,Argentina,La Liga,Box to Box
213,Vitinha Modric,CM,Monaco,Spain,Ligue 1,Playmaker
214,Eduardo Modric,CM,Bayer Leverkusen,Hungary,Bundesliga,Half Winger
215,Gavi Gonzalez,CM,Nice,Portugal,Ligue 1,Box to Box
216,Frenkie Bissouma,CM,Bayer Leverkusen,Germany,Bundesliga,Playmaker
217,Mateo Rabiot,CM,Lyon,Italy,Ligue 1,Box to Box
218,Manuel Modric,CM,Napoli,Mali,Serie A,Half Winger
219,Leon Zaire-Emery,CM,West Ham,Brazil,Premier League,Box to Box
220,Leon Gallagher,CM,Real Betis,France,La Liga,Deep Lying Playmaker
221,Dominik Zaire-Emery,CM,Bayern Munich,Switzerland,Bundesliga,Deep Lying Playmaker
222,Lucas Goretzka,CM,PSG,Argentina,Ligue 1,Deep Lying Playmaker
223,Nicolo Modric,CM,AC Milan,England,Serie A,Deep Lying Playmaker
224,Lucas Camavinga,CM,Real Madrid,Croatia,La Liga,Playmaker
225,Dominik Barella,CM,Inter Milan,Portugal,Serie A,Box to Box
226,Ilkay De Paul,CM,Bologna,Brazil,Serie A,Deep Lying Playmaker
227,Manuel Koopmeiners,CM,Aston Villa,Netherlands,Premier League,Holding
228,Nicolo Aouar,CM,Lille,Italy,Ligue 1,Deep Lying Playmaker
229,Gavi Bellingham,CM,Bayer Leverkusen,Germany,Bundesliga,Playmaker
230,Alexis Gallagher,CM,Manchester City,Italy,Premier League,Playmaker
231,Lucas Kovacic,CM,Tottenham,Spain,Premier League,Deep Lying Playmaker
232,Warren Zaire-Emery,CM,Inter Milan,France,Serie A,Box to Box
233,Alexis Locatelli,CM,PSG,Netherlands,Ligue 1,Holding
234,Jude Xhaka,CM,Lazio,Spain,Serie A,Box to Box
235,Dominik Gallagher,CM,Newcastle,Algeria,Premier League,Playmaker
236,Vitinha Gallagher,CM,Aston Villa,Belgium,Premier League,Box to Box
237,Warren Rabiot,CM,Lyon,Hungary,Ligue 1,Box to Box
238,Leon De Paul,CM,Atletico Madrid,Switzerland,La Liga,Half Winger
239,Frenkie Modric,CM,Dortmund,Germany,Bundesliga,Half Winger
240,Manuel Mac Allister,CM,Napoli,Italy,Serie A,Playmaker
241,Leon Goretzka,CM,Manchester United,France,Premier League,Playmaker
242,Ilkay Bissouma,CM,Brest,Brazil,Ligue 1,Holding
243,Manuel Szoboszlai,CM,Newcastle,Belgium,Premier League,Playmaker
244,Adrien Mac Allister,CM,Athletic Club,Algeria,La Liga,Half Winger
245,Luka Gonzalez,CM,Nice,France,Ligue 1,Holding
246,Lucas Rabiot,CM,Monaco,Belgium,Ligue 1,Holding
247,Eduardo Modric,CM,Arsenal,Brazil,Premier League,Holding
248,Alexis Gundogan,CM,Chelsea,Switzerland,Premier League,Holding
249,Houssem Mac Allister,CM,Arsenal,Germany,Premier League,Half Winger
250,Enzo Gundogan,CM,Barcelona,Netherlands,La Liga,Holding
251,Enzo Zaire-Emery,CM,AS Roma,Germany,Serie A,Holding
252,Dominik Barella,CM,Atalanta,Brazil,Serie A,Half Winger
253,Yves De Paul,CM,West Ham,Argentina,Premier League,Playmaker
254,Vitinha Xhaka,CM,Brest,Spain,Ligue 1,Half Winger
255,Luka Kovacic,CM,Athletic Club,Netherlands,La Liga,Box to Box
256,Conor Gundogan,CM,RB Leipzig,Brazil,Bundesliga,Playmaker
257,Enzo Camavinga,CM,Atletico Madrid,Italy,La Liga,Deep Lying Playmaker
258,Manuel Mac Allister,CM,Dortmund,Hungary,Bundesliga,Holding
259,Alexis De Bruyne,CM,Real Sociedad,France,La Liga,Playmaker
260,Leon Fernandez,CM,Bayer Leverkusen,Spain,Bundesliga,Half Winger
261,Mateo Goretzka,CM,Real Betis,Argentina,La Liga,Playmaker
262,Dominik Camavinga,CM,Frankfurt,Switzerland,Bundesliga,Deep Lying Playmaker
263,Luka De Jong,CM,Brest,Switzerland,Ligue 1,Holding
264,Toni Kroos,CM,Athletic Club,Switzerland,La Liga,Deep Lying Playmaker
265,Gavi Tielemans,CM,Inter Milan,France,Serie A,Half Winger
266,Pedri Goretzka,CM,Nice,Netherlands,Ligue 1,Box to Box
267,Alexis Tielemans,CM,Frankfurt,England,Bundesliga,Playmaker
268,Alexis Mac Allister,CM,Girona,England,La Liga,Playmaker
269,Kevin De Paul,CM,Barcelona,Argentina,La Liga,Deep Lying Playmaker
270,Gavi Fernandez,CM,Tottenham,Brazil,Premier League,Playmaker
271,Nicolo Goretzka,CM,RB Leipzig,Croatia,Bundesliga,Half Winger
272,Eduardo Kovacic,CM,Stuttgart,Spain,Bundesliga,Box to Box
273,Rodrigo Zaire-Emery,CM,Lazio,England,Serie A,Holding
274,Leon Gonzalez,CM,Tottenham,Belgium,Premier League,Box to Box
275,Lucas Zaire-Emery,CM,AC Milan,Italy,Serie A,Half Winger
276,Manuel Tielemans,CM,Arsenal,Switzerland,Premier League,Box to Box
277,Pedri De Jong,CM,Lyon,Italy,Ligue 1,Playmaker
278,Luka Xhaka,CM,Athletic Club,Mali,La Liga,Box to Box
279,Gavi Szoboszlai,CM,Atalanta,Hungary,Serie A,Holding
280,Houssem Koopmeiners,CM,Arsenal,Germany,Premier League,Box to Box
281,Toni Rabiot,CM,Manchester United,Netherlands,Premier League,Playmaker
282,Warren Szoboszlai,CM,AC Milan,Belgium,Serie A,Holding
283,Pedri Paqueta,CM,Stuttgart,Croatia,Bundesliga,Playmaker
284,Kevin De Jong,CM,Lazio,Netherlands,Serie A,Half Winger
285,Rodrigo Tielemans,CM,Marseille,Argentina,Ligue 1,Playmaker
286,Mateo De Paul,CM,Atletico Madrid,Argentina,La Liga,Holding
287,Enzo Zaire-Emery,CM,Manchester United,Croatia,Premier League,Half Winger
288,Enzo Fernandez,CM,Bayer Leverkusen,Argentina,Bundesliga,Half Winger
289,Houssem Bellingham,CM,Lille,Brazil,Ligue 1,Half Winger
290,Rodrigo Goretzka,CM,Marseille,Belgium,Ligue 1,Box to Box
291,Vitinha Kovacic,CM,Valencia,Belgium,La Liga,Box to Box
292,Manuel Aouar,CM,RB Leipzig,Netherlands,Bundesliga,Box to Box
293,Luka De Jong,CM,Juventus,Croatia,Serie A,Holding
294,Luka De Paul,CM,Inter Milan,Germany,Serie A,Holding
295,Granit Barella,CM,Lyon,Italy,Ligue 1,Holding
296,Houssem Goretzka,CM,Atalanta,Portugal,Serie A,Box to Box
297,Dominik Kovacic,CM,RB Leipzig,Germany,Bundesliga,Playmaker
298,Pedri Szoboszlai,CM,Bayern Munich,Argentina,Bundesliga,Box to Box
299,Warren Kovacic,CM,Bologna,England,Serie A,Deep Lying Playmaker
300,Dominik Bissouma,CM,Arsenal,Mali,Premier League,Holding
301,Dominik Aouar,CM,Brest,Mali,Ligue 1,Half Winger
302,Enzo Goretzka,CM,Manchester United,Croatia,Premier League,Playmaker
303,Mateo De Jong,CM,Nice,Croatia,Ligue 1,Half Winger
304,Alexis Zaire-Emery,CM,Dortmund,France,Bundesliga,Half Winger
305,Mateo Mac Allister,CM,Brighton,Portugal,Premier League,Deep Lying Playmaker
306,Dominik Locatelli,CM,Nice,Switzerland,Ligue 1,Box to Box
307,Lucas Rabiot,CM,Brest,Italy,Ligue 1,Playmaker
308,Mateo Gundogan,CM,Arsenal,Brazil,Premier League,Holding
309,Granit Barella,CM,Real Sociedad,Croatia,La Liga,Half Winger
310,Yves Bissouma,CM,Frankfurt,Germany,Bundesliga,Half Winger
311,Adrien Modric,CM,Bologna,Spain,Serie A,Half Winger
312,Vitinha Aouar,CM,Inter Milan,Germany,Serie A,Holding
313,Pedri Camavinga,CM,Dortmund,England,Bundesliga,Box to Box
314,Conor Locatelli,CM,Bayern Munich,Germany,Bundesliga,Deep Lying Playmaker
315,Pedri Gallagher,CM,Lyon,Italy,Ligue 1,Holding
316,Leon Szoboszlai,CM,Frankfurt,Brazil,Bundesliga,Half Winger
317,Gavi Camavinga,CM,Atletico Madrid,Portugal,La Liga,Box to Box
318,Frenkie Modric,CM,Juventus,Algeria,Serie A,Half Winger
319,Dominik Barella,CM,Nice,Mali,Ligue 1,Box to Box
320,Vitinha Camavinga,CM,Lazio,England,Serie A,Deep Lying Playmaker
321,Toni Aouar,CM,Inter Milan,England,Serie A,Deep Lying Playmaker
322,Toni Mac Allister,CM,Napoli,Belgium,Serie A,Playmaker
323,Gavi De Paul,CM,Juventus,Germany,Serie A,Box to Box
324,Conor Aouar,CM,Bologna,Argentina,Serie A,Half Winger
325,Enzo Gonzalez,CM,Real Madrid,Portugal,La Liga,Half Winger
326,Adrien Paqueta,CM,Aston Villa,Algeria,Premier League,Half Winger
327,Luka Gallagher,CM,Real Betis,Algeria,La Liga,Holding
328,Yves Koopmeiners,CM,Marseille,Brazil,Ligue 1,Half Winger
329,Frenkie Aouar,CM,Inter Milan,Portugal,Serie A,Deep Lying Playmaker
330,Alexis De Bruyne,CM,Lille,Mali,Ligue 1,Deep Lying Playmaker
331,Dominik Gundogan,CM,Frankfurt,Croatia,Bundesliga,Half Winger
332,Gavi Gallagher,CM,AS Roma,Belgium,Serie A,Holding
333,Jude Szoboszlai,CM,Newcastle,Switzerland,Premier League,Box to Box
334,Frenkie Locatelli,CM,Atletico Madrid,Algeria,La Liga,Playmaker
335,Yves De Paul,CM,Monaco,Hungary,Ligue 1,Deep Lying Playmaker
336,Warren Kovacic,CM,AS Roma,Belgium,Serie A,Playmaker
337,Alexis Kovacic,CM,Lyon,Germany,Ligue 1,Holding
338,Vitinha De Bruyne,CM,Atalanta,Portugal,Serie A,Playmaker
339,Jude Paqueta,CM,AC Milan,Belgium,Serie A,Holding
340,Toni De Paul,CM,Athletic Club,Hungary,La Liga,Holding
341,Enzo Zaire-Emery,CM,Stuttgart,Portugal,Bundesliga,Half Winger
342,Dominik Gonzalez,CM,Brest,Italy,Ligue 1,Half Winger
343,Conor Szoboszlai,CM,Bayer Leverkusen,Germany,Bundesliga,Playmaker
344,Nicolo Rabiot,CM,Monaco,Brazil,Ligue 1,Box to Box
345,Houssem Locatelli,CM,Chelsea,Germany,Premier League,Deep Lying Playmaker
346,Enzo Kroos,CM,Napoli,Netherlands,Serie A,Holding
347,Yves Barella,CM,Stuttgart,Netherlands,Bundesliga,Playmaker
348,Gavi Paqueta,CM,Bayer Leverkusen,Algeria,Bundesliga,Half Winger
349,Jude Tielemans,CM,Athletic Club,Hungary,La Liga,Holding
350,Eduardo Mac Allister,CM,Bayer Leverkusen,Argentina,Bundesliga,Half Winger
351,Warren Paqueta,CM,Frankfurt,Algeria,Bundesliga,Playmaker
352,Eduardo Locatelli,CM,Lyon,Switzerland,Ligue 1,Playmaker
353,Houssem Szoboszlai,CM,Stuttgart,Netherlands,Bundesliga,Holding
354,Lucas Gundogan,CM,Stuttgart,Switzerland,Bundesliga,Deep Lying Playmaker
355,Manuel Koopmeiners,CM,Atalanta,Netherlands,Serie A,Half Winger
356,Rodrigo Rabiot,CM,Tottenham,England,Premier League,Box to Box
357,Adrien Modric,CM,Stuttgart,Argentina,Bundesliga,Holding
358,Dominik Tielemans,CM,Chelsea,Argentina,Premier League,Box to Box
359,Vitinha Koopmeiners,CM,PSG,Germany,Ligue 1,Playmaker
360,Luka Goretzka,CM,Athletic Club,Switzerland,La Liga,Half Winger
361,Granit Goretzka,CM,Real Sociedad,Belgium,La Liga,Half Winger
362,Vitinha Tielemans,CM,Barcelona,Italy,La Liga,Half Winger
363,Dominik Modric,CM,Athletic Club,Argentina,La Liga,Half Winger
364,Enzo De Jong,CM,Newcastle,Argentina,Premier League,Playmaker
365,Rodrigo De Bruyne,CM,Valencia,Portugal,La Liga,Half Winger
