Id,NamaPemain,Posisi,Club,Negara,Liga,PlayerInstruction
174,Malo Di Lorenzo,RB,Brest,Italy,Ligue 1,Falseback
175,Dani Tomiyasu,RB,Inter Milan,Belgium,Serie A,Falseback
176,Giovanni Dalot,RB,Lille,Brazil,Ligue 1,Wingback
177,Nahuel Alexander-Arnold,RB,AC Milan,England,Serie A,Attacking Wing Back
178,Trent James,RB,Atalanta,Japan,Serie A,Attacking Wing Back
179,Denzel Walker,RB,Bayern Munich,France,Bundesliga,Wingback
180,Ben Gusto,RB,PSG,Turkey,Ligue 1,Attacking Wing Back
181,Pedro Trippier,RB,Atalanta,Spain,Serie A,Fullback
182,Kieran Molina,RB,Manchester City,Germany,Premier League,Attacking Wing Back
183,Dani Cancelo,RB,Bayer Leverkusen,Belgium,Bundesliga,Falseback
184,Takehiro Carvajal,RB,Stuttgart,Brazil,Bundesliga,Fullback
185,Denzel Wan-Bissaka,RB,Napoli,Brazil,Serie A,Falseback
186,Reece Dumfries,RB,Bayern Munich,USA,Bundesliga,Wingback
187,Malo Molina,RB,Manchester City,Japan,Premier League,Falseback
188,Ben Wan-Bissaka,RB,Tottenham,USA,Premier League,Fullback
189,Benjamin James,RB,Newcastle,Italy,Premier League,Fullback
190,Aaron Cancelo,RB,Real Sociedad,Poland,La Liga,Fullback
191,Achraf Hakimi,RB,Brest,England,Ligue 1,Wingback
192,Kyle Dumfries,RB,Brighton,Japan,Premier League,Falseback
193,Rico Di Lorenzo,RB,Dortmund,Japan,Bundesliga,Fullback
194,Dani Porro,RB,Inter Milan,Morocco,Serie A,Fullback
195,Achraf Cancelo,RB,Monaco,France,Ligue 1,Attacking Wing Back
196,Malo Trippier,RB,Inter Milan,Japan,Serie A,Fullback
197,Ben Hakimi,RB,Juventus,Netherlands,Serie A,Falseback
198,Ben Molina,RB,Tottenham,Portugal,Premier League,Wingback
199,Kyle Dalot,RB,Chelsea,Germany,Premier League,Fullback
200,Nahuel Carvajal,RB,AC Milan,Turkey,Serie A,Attacking Wing Back
201,Malo Walker,RB,Lille,Portugal,Ligue 1,Fullback
202,Diogo Carvajal,RB,Valencia,Poland,La Liga,Falseback
203,Aaron Dalot,RB,Monaco,France,Ligue 1,Attacking Wing Back
204,Timothy Molina,RB,Bayern Munich,Italy,Bundesliga,Falseback
205,Takehiro Dumfries,RB,PSG,Belgium,Ligue 1,Attacking Wing Back
206,Aaron Dumfries,RB,Nice,Brazil,Ligue 1,Attacking Wing Back
207,Malo Lewis,RB,Frankfurt,Morocco,Bundesliga,Attacking Wing Back
208,Takehiro Trippier,RB,Tottenham,Netherlands,Premier League,Fullback
209,Kieran Lewis,RB,Frankfurt,USA,Bundesliga,Attacking Wing Back
210,Pedro Pavard,RB,Monaco,Germany,Ligue 1,Falseback
211,Joao Alexander-Arnold,RB,Napoli,France,Serie A,Attacking Wing Back
212,Kyle White,RB,Lyon,Brazil,Ligue 1,Fullback
213,Trent Lewis,RB,Inter Milan,Portugal,Serie A,Fullback
214,Timothy Tomiyasu,RB,Stuttgart,Belgium,Bundesliga,Fullback
215,Benjamin James,RB,Napoli,USA,Serie A,Fullback
216,Denzel Wan-Bissaka,RB,Monaco,Portugal,Ligue 1,Wingback
217,Kyle Porro,RB,Dortmund,Portugal,Bundesliga,Fullback
218,Kieran Porro,RB,Stuttgart,Argentina,Bundesliga,Attacking Wing Back
219,Malo Pavard,RB,Barcelona,Germany,La Liga,Attacking Wing Back
220,Nahuel Wan-Bissaka,RB,Tottenham,Belgium,Premier League,Wingback
221,Giovanni Alexander-Arnold,RB,Bayer Leverkusen,Netherlands,Bundesliga,Wingback
222,Kyle Dumfries,RB,Real Madrid,Morocco,La Liga,Falseback
223,Trent Lewis,RB,Atletico Madrid,England,La Liga,Fullback
224,Malo Gusto,RB,Frankfurt,France,Bundesliga,Attacking Wing Back
225,Pedro Tomiyasu,RB,Valencia,Japan,La Liga,Wingback
226,Ben Tomiyasu,RB,Bologna,Turkey,Serie A,Fullback
227,Kyle Di Lorenzo,RB,Lyon,Italy,Ligue 1,Attacking Wing Back
228,Denzel Alexander-Arnold,RB,AS Roma,Japan,Serie A,Fullback
229,Ben White,RB,Tottenham,Argentina,Premier League,Fullback
230,Benjamin Carvajal,RB,Bayern Munich,Germany,Bundesliga,Attacking Wing Back
231,Takehiro Cancelo,RB,Frankfurt,Brazil,Bundesliga,Wingback
232,Timothy Trippier,RB,Valencia,Portugal,La Liga,Falseback
233,Timothy Hakimi,RB,Girona,USA,La Liga,Falseback
234,Timothy Frimpong,RB,Bayer Leverkusen,Belgium,Bundesliga,Attacking Wing Back
235,Denzel Castagne,RB,Brighton,France,Premier League,Falseback
236,Kyle Cancelo,RB,Lazio,Japan,Serie A,Attacking Wing Back
237,Trent Alexander-Arnold,RB,Dortmund,Brazil,Bundesliga,Wingback
238,Giovanni Carvajal,RB,RB Leipzig,Morocco,Bundesliga,Attacking Wing Back
239,Takehiro Carvajal,RB,Inter Milan,Portugal,Serie A,Attacking Wing Back
240,Giovanni Frimpong,RB,Bayern Munich,Belgium,Bundesliga,Falseback
241,Timothy Pavard,RB,Atalanta,Portugal,Serie A,Attacking Wing Back
242,Timothy Lewis,RB,Marseille,Argentina,Ligue 1,Wingback
243,Nahuel Wan-Bissaka,RB,Bayer Leverkusen,Morocco,Bundesliga,Wingback
244,Kieran White,RB,Juventus,Italy,Serie A,Attacking Wing Back
245,Jeremie White,RB,Real Betis,England,La Liga,Falseback
246,Trent White,RB,Dortmund,Italy,Bundesliga,Attacking Wing Back
247,Pedro Wan-Bissaka,RB,Athletic Club,Japan,La Liga,Wingback
248,Kieran Gusto,RB,AS Roma,Argentina,Serie A,Falseback
249,Ben Frimpong,RB,Atalanta,Brazil,Serie A,Fullback
250,Diogo Walker,RB,Aston Villa,Japan,Premier League,Attacking Wing Back
251,Diogo Hakimi,RB,Marseille,Brazil,Ligue 1,Fullback
252,Ben Alexander-Arnold,RB,PSG,France,Ligue 1,Falseback
253,Reece Trippier,RB,AC Milan,France,Serie A,Attacking Wing Back
254,Malo White,RB,Lazio,Brazil,Serie A,Attacking Wing Back
255,Kyle Frimpong,RB,Brest,Netherlands,Ligue 1,Falseback
256,Takehiro Dumfries,RB,Newcastle,England,Premier League,Fullback
257,Kyle White,RB,Brest,Morocco,Ligue 1,Fullback
258,Achraf Di Lorenzo,RB,Newcastle,Argentina,Premier League,Fullback
259,Benjamin Carvajal,RB,Tottenham,Japan,Premier League,Fullback
260,Diogo Gusto,RB,Dortmund,Portugal,Bundesliga,Attacking Wing Back
261,Takehiro Castagne,RB,Lazio,Spain,Serie A,Fullback
262,Pedro Carvajal,RB,Liverpool,France,Premier League,Fullback
263,Aaron Trippier,RB,Inter Milan,Italy,Serie A,Attacking Wing Back
264,Kieran White,RB,Valencia,Italy,La Liga,Fullback
265,Denzel Trippier,RB,Atletico Madrid,Turkey,La Liga,Wingback
266,Rico Gusto,RB,Bayer Leverkusen,England,Bundesliga,Fullback
267,Ben Hakimi,RB,Girona,Brazil,La Liga,Wingback
268,Joao Pavard,RB,Atalanta,Japan,Serie A,Wingback
269,Jeremie Carvajal,RB,Real Betis,Portugal,La Liga,Fullback
270,Denzel Alexander-Arnold,RB,Liverpool,Morocco,Premier League,Falseback
271,Timothy Tomiyasu,RB,Girona,USA,La Liga,Wingback
272,Denzel Porro,RB,AC Milan,Netherlands,Serie A,Attacking Wing Back
273,Diogo White,RB,Arsenal,Turkey,Premier League,Attacking Wing Back
274,Denzel Di Lorenzo,RB,AS Roma,France,Serie A,Fullback
275,Takehiro Carvajal,RB,AS Roma,Japan,Serie A,Falseback
276,Malo Tomiyasu,RB,Real Madrid,Turkey,La Liga,Falseback
277,Pedro Dalot,RB,Liverpool,Spain,Premier League,Fullback
278,Diogo Molina,RB,PSG,Poland,Ligue 1,Attacking Wing Back
279,Giovanni Porro,RB,Juventus,Belgium,Serie A,Fullback
280,Rico White,RB,Marseille,Spain,Ligue 1,Attacking Wing Back
281,Trent Hakimi,RB,PSG,USA,Ligue 1,Wingback
282,Jeremie Wan-Bissaka,RB,Brest,Morocco,Ligue 1,Wingback
283,Rico White,RB,Arsenal,Belgium,Premier League,Falseback
284,Timothy Frimpong,RB,Lyon,Spain,Ligue 1,Fullback
285,Denzel Hakimi,RB,Nice,Belgium,Ligue 1,Falseback
286,Trent Cancelo,RB,Newcastle,Netherlands,Premier League,Wingback
287,Aaron Pavard,RB,Lyon,Morocco,Ligue 1,Wingback
288,Diogo Alexander-Arnold,RB,Napoli,Argentina,Serie A,Falseback
289,Trent James,RB,Liverpool,Germany,Premier League,Wingback
290,Timothy Di Lorenzo,RB,Real Madrid,Poland,La Liga,Falseback
291,Diogo James,RB,PSG,Belgium,Ligue 1,Fullback
292,Nahuel Trippier,RB,Dortmund,Argentina,Bundesliga,Falseback
293,Denzel Frimpong,RB,RB Leipzig,England,Bundesliga,Fullback
294,Ben Di Lorenzo,RB,AC Milan,Belgium,Serie A,Wingback
295,Reece Carvajal,RB,Aston Villa,England,Premier League,Fullback
296,Kyle Frimpong,RB,Atletico Madrid,Belgium,La Liga,Falseback
297,Reece Carvajal,RB,Stuttgart,Belgium,Bundesliga,Fullback
298,Kieran Cancelo,RB,AS Roma,Italy,Serie A,Fullback
299,Dani Dalot,RB,RB Leipzig,Netherlands,Bundesliga,Falseback
300,Timothy Carvajal,RB,West Ham,USA,Premier League,Attacking Wing Back
301,Ben Porro,RB,Newcastle,Portugal,Premier League,Attacking Wing Back
302,Diogo Cancelo,RB,Aston Villa,England,Premier League,Falseback
303,Kieran James,RB,Newcastle,Morocco,Premier League,Falseback
304,Giovanni Hakimi,RB,Dortmund,Netherlands,Bundesliga,Wingback
305,Achraf Trippier,RB,Atalanta,Turkey,Serie A,Attacking Wing Back
306,Kieran Dumfries,RB,Nice,Netherlands,Ligue 1,Falseback
307,Achraf Carvajal,RB,Liverpool,Belgium,Premier League,Attacking Wing Back
308,Joao Lewis,RB,Lille,Spain,Ligue 1,Falseback
309,Giovanni White,RB,Napoli,Poland,Serie A,Falseback
310,Achraf Tomiyasu,RB,Lyon,France,Ligue 1,Wingback
311,Achraf Lewis,RB,Lille,England,Ligue 1,Wingback
312,Reece Cancelo,RB,Bologna,Argentina,Serie A,Fullback
313,Dani Hakimi,RB,AS Roma,Argentina,Serie A,Falseback
314,Diogo James,RB,Brest,Germany,Ligue 1,Fullback
315,Joao Porro,RB,Lazio,Spain,Serie A,Fullback
316,Takehiro Frimpong,RB,Nice,Germany,Ligue 1,Fullback
317,Trent Frimpong,RB,Frankfurt,Belgium,Bundesliga,Attacking Wing Back
318,Denzel Frimpong,RB,Manchester United,Poland,Premier League,Falseback
319,Denzel Pavard,RB,Real Sociedad,Morocco,La Liga,Falseback
320,Joao Porro,RB,Liverpool,France,Premier League,Wingback
321,Timothy Lewis,RB,Brighton,USA,Premier League,Fullback
322,Benjamin Lewis,RB,Tottenham,Turkey,Premier League,Falseback
323,Ben Carvajal,RB,Frankfurt,Belgium,Bundesliga,Wingback
324,Kieran Gusto,RB,Brighton,Brazil,Premier League,Wingback
325,Aaron Trippier,RB,Juventus,France,Serie A,Falseback
326,Nahuel Di Lorenzo,RB,Tottenham,Turkey,Premier League,Fullback
327,Timothy Wan-Bissaka,RB,PSG,Belgium,Ligue 1,Wingback
328,Giovanni Lewis,RB,Nice,Poland,Ligue 1,Wingback
329,Malo White,RB,Brest,Netherlands,Ligue 1,Fullback
330,Benjamin Carvajal,RB,AC Milan,Turkey,Serie A,Fullback
331,Diogo Tomiyasu,RB,Nice,Germany,Ligue 1,Attacking Wing Back
332,Takehiro Carvajal,RB,Frankfurt,France,Bundesliga,Wingback
333,Dani Dumfries,RB,Monaco,France,Ligue 1,Wingback
334,Joao Carvajal,RB,Lille,England,Ligue 1,Attacking Wing Back
335,Joao Wan-Bissaka,RB,Dortmund,Poland,Bundesliga,Falseback
336,Pedro Dumfries,RB,Lazio,Morocco,Serie A,Falseback
337,Jeremie Dumfries,RB,Lille,England,Ligue 1,Falseback
338,Joao Frimpong,RB,AC Milan,Argentina,Serie A,Falseback
339,Joao Trippier,RB,Monaco,Japan,Ligue 1,Wingback
340,Reece Dalot,RB,Monaco,England,Ligue 1,Wingback
341,Dani Lewis,RB,Valencia,Turkey,La Liga,Attacking Wing Back
342,Dani Castagne,RB,Dortmund,Portugal,Bundesliga,Wingback
343,Benjamin Molina,RB,Athletic Club,France,La Liga,Wingback
344,Trent Cancelo,RB,Bayer Leverkusen,Belgium,Bundesliga,Attacking Wing Back
345,Trent Walker,RB,Bologna,Japan,Serie A,Fullback
346,Ben Pavard,RB,Real Sociedad,Portugal,La Liga,Falseback
347,Nahuel Di Lorenzo,RB,Nice,Germany,Ligue 1,Falseback
348,Joao Hakimi,RB,Stuttgart,Japan,Bundesliga,Attacking Wing Back
349,Giovanni Di Lorenzo,RB,Stuttgart,Argentina,Bundesliga,Wingback
350,Ben Walker,RB,Napoli,Turkey,Serie A,Falseback
351,Dani Wan-Bissaka,RB,Inter Milan,Netherlands,Serie A,Wingback
352,Ben Walker,RB,Athletic Club,Spain,La Liga,Falseback
353,Pedro Pavard,RB,Lyon,Belgium,Ligue 1,Fullback
354,Pedro Alexander-Arnold,RB,Frankfurt,Morocco,Bundesliga,Fullback
355,Pedro Alexander-Arnold,RB,Nice,England,Ligue 1,Falseback
356,Pedro White,RB,Newcastle,England,Premier League,Wingback
357,Kyle Gusto,RB,Liverpool,Turkey,Premier League,Attacking Wing Back
358,Giovanni Hakimi,RB,Manchester United,Spain,Premier League,Falseback
359,Rico Hakimi,RB,Bayern Munich,Turkey,Bundesliga,Fullback
360,Pedro Molina,RB,Lazio,Turkey,Serie A,Falseback
361,Takehiro Tomiyasu,RB,PSG,Italy,Ligue 1,Wingback
362,Joao Pavard,RB,Valencia,England,La Liga,Attacking Wing Back
363,Joao Wan-Bissaka,RB,Brest,Argentina,Ligue 1,Attacking Wing Back
364,Aaron Tomiyasu,RB,Real Madrid,Portugal,La Liga,Attacking Wing Back
365,Kyle Porro,RB,Atalanta,Portugal,Serie A,Attacking Wing Back
366,Ben Porro,RB,Chelsea,Portugal,Premier League,Wingback
367,Joao Frimpong,RB,Marseille,Spain,Ligue 1,Fullback
368,Jeremie White,RB,RB Leipzig,USA,Bundesliga,Fullback
369,Ben Castagne,RB,Dortmund,Turkey,Bundesliga,Falseback
370,Joao Gusto,RB,Barcelona,Portugal,La Liga,Fullback
371,Dani Trippier,RB,Chelsea,Turkey,Premier League,Fullback
372,Pedro Hakimi,RB,Atalanta,France,Serie A,Fullback
373,Diogo Dumfries,RB,Real Sociedad,Spain,La Liga,Wingback
374,Denzel Castagne,RB,West Ham,Portugal,Premier League,Falseback
375,Rico Hakimi,RB,Girona,England,La Liga,Falseback
376,Trent Dumfries,RB,Stuttgart,Argentina,Bundesliga,Attacking Wing Back
377,Trent Dumfries,RB,Arsenal,Netherlands,Premier League,Falseback
378,Jeremie Dumfries,RB,Napoli,Turkey,Serie A,Fullback
379,Rico White,RB,Newcastle,Turkey,Premier League,Attacking Wing Back
380,Ben White,RB,Athletic Club,Portugal,La Liga,Wingback
