Id,NamaPemain,Posisi,Club,Negara,Liga,PlayerInstruction
45,Jordi Maatsen,LB,Bayern Munich,Spain,Bundesliga,Fullback
46,Alphonso Lodi,LB,Liverpool,Germany,Premier League,Fullback
47,Destiny Guerreiro,LB,Lille,Portugal,Ligue 1,Wingback
48,Nuno Hernandez,LB,AS Roma,Argentina,Serie A,Wingback
49,Marc Mitchell,LB,Marseille,Ukraine,Ligue 1,Attacking Wing Back
50,Andrew Lodi,LB,Nice,Italy,Ligue 1,Attacking Wing Back
51,Lucas Mykolenko,LB,Dortmund,Ukraine,Bundesliga,Wingback
52,Ferland Alba,LB,Real Betis,Belgium,La Liga,Wingback
53,Kieran Ait-Nouri,LB,Real Madrid,France,La Liga,Attacking Wing Back
54,Raphael Zinchenko,LB,Bayern Munich,France,Bundesliga,Fullback
55,Alejandro Sandro,LB,Dortmund,France,Bundesliga,Attacking Wing Back
56,Pervis Mitchell,LB,Manchester City,Ukraine,Premier League,Falseback
57,Ian Lodi,LB,Inter Milan,Italy,Serie A,Attacking Wing Back
58,Renan Lodi,LB,Marseille,Scotland,Ligue 1,Falseback
59,Federico Lodi,LB,Monaco,Italy,Ligue 1,Falseback
60,Theo Balde,LB,Aston Villa,Ukraine,Premier League,Fullback
61,Marc Maatsen,LB,Juventus,Algeria,Serie A,Fullback
62,Luke Shaw,LB,Manchester United,France,Premier League,Falseback
63,Renan Hernandez,LB,Bologna,Ecuador,Serie A,Fullback
64,Jose Palmieri,LB,PSG,Spain,Ligue 1,Falseback
65,Ferland Mendes,LB,Lille,Belgium,Ligue 1,Falseback
66,Tyrick Hernandez,LB,Napoli,Germany,Serie A,Attacking Wing Back
67,Oleksandr Cucurella,LB,Stuttgart,Brazil,Bundesliga,Fullback
68,Federico Gaya,LB,Bayern Munich,Algeria,Bundesliga,Fullback
69,Theo Mendy,LB,Barcelona,Belgium,La Liga,Fullback
70,Alphonso Udogie,LB,Atletico Madrid,Ecuador,La Liga,Falseback
71,Emerson Davies,LB,Lyon,France,Ligue 1,Attacking Wing Back
72,Alphonso Robertson,LB,Atletico Madrid,Ecuador,La Liga,Attacking Wing Back
73,Ferland Chilwell,LB,Real Madrid,Canada,La Liga,Attacking Wing Back
74,Andrew Mendes,LB,Girona,England,La Liga,Attacking Wing Back
75,Alphonso Tierney,LB,West Ham,France,Premier League,Fullback
76,Raphael Estupinan,LB,RB Leipzig,Argentina,Bundesliga,Attacking Wing Back
77,Vitaliy Ait-Nouri,LB,Liverpool,England,Premier League,Falseback
78,Andrew Lodi,LB,Real Sociedad,Netherlands,La Liga,Falseback
79,Marc Mykolenko,LB,Athletic Club,France,La Liga,Wingback
80,Alex Digne,LB,Frankfurt,Algeria,Bundesliga,Fullback
81,Alphonso Robertson,LB,Barcelona,Portugal,La Liga,Wingback
82,Theo Balde,LB,Napoli,Scotland,Serie A,Attacking Wing Back
83,Renan Balde,LB,Stuttgart,Portugal,Bundesliga,Falseback
84,Nuno Estupinan,LB,Monaco,Algeria,Ligue 1,Attacking Wing Back
85,Emerson Palmieri,LB,Valencia,Ecuador,La Liga,Fullback
86,Ian Mendes,LB,Real Betis,Spain,La Liga,Falseback
87,Ian Gaya,LB,Napoli,Scotland,Serie A,Wingback
88,Theo Shaw,LB,Girona,Germany,La Liga,Attacking Wing Back
89,Jordi Balde,LB,Aston Villa,Brazil,Premier League,Falseback
90,Alejandro Mykolenko,LB,Real Sociedad,Ukraine,La Liga,Wingback
91,Ben Chilwell,LB,Real Madrid,Italy,La Liga,Falseback
92,Kieran Alba,LB,Bayer Leverkusen,Netherlands,Bundesliga,Fullback
93,Luke Sandro,LB,Atletico Madrid,Ecuador,La Liga,Falseback
94,Lucas Palmieri,LB,Atalanta,Portugal,Serie A,Wingback
95,Destiny Maatsen,LB,Inter Milan,Ecuador,Serie A,Wingback
96,Theo Maatsen,LB,RB Leipzig,Ukraine,Bundesliga,Fullback
97,Luke Maatsen,LB,Bayern Munich,Argentina,Bundesliga,Falseback
98,Alphonso Maatsen,LB,Lyon,Germany,Ligue 1,Attacking Wing Back
99,Jose Mykolenko,LB,Marseille,Germany,Ligue 1,Falseback
100,Nuno Mitchell,LB,RB Leipzig,Algeria,Bundesliga,Attacking Wing Back
101,Ferland Maatsen,LB,Bayern Munich,Algeria,Bundesliga,Attacking Wing Back
102,Kieran Tierney,LB,Brest,Spain,Ligue 1,Falseback
103,Tyrick Mykolenko,LB,Newcastle,Ukraine,Premier League,Fullback
104,Destiny Palmieri,LB,RB Leipzig,Argentina,Bundesliga,Fullback
105,Luke Shaw,LB,AS Roma,Netherlands,Serie A,Attacking Wing Back
106,Lucas Digne,LB,Napoli,Spain,Serie A,Falseback
107,Kieran Chilwell,LB,Frankfurt,Algeria,Bundesliga,Fullback
108,Jose Balde,LB,Liverpool,Canada,Premier League,Attacking Wing Back
109,Ferland Chilwell,LB,AC Milan,Argentina,Serie A,Wingback
110,Ian Guerreiro,LB,Brest,Italy,Ligue 1,Falseback
111,Ben Tierney,LB,Bayern Munich,France,Bundesliga,Fullback
112,Alphonso Lodi,LB,RB Leipzig,Italy,Bundesliga,Fullback
113,Nuno Ait-Nouri,LB,Inter Milan,Algeria,Serie A,Attacking Wing Back
114,Nuno Udogie,LB,Girona,Ecuador,La Liga,Fullback
115,Ben Mitchell,LB,Monaco,Argentina,Ligue 1,Falseback
116,Alphonso Hernandez,LB,Real Sociedad,Brazil,La Liga,Attacking Wing Back
117,Luke Shaw,LB,Marseille,Belgium,Ligue 1,Wingback
118,Destiny Digne,LB,Dortmund,England,Bundesliga,Fullback
119,Marc Dimarco,LB,Lille,Algeria,Ligue 1,Fullback
120,Kieran Mendy,LB,Juventus,Germany,Serie A,Fullback
121,Jose Cucurella,LB,Inter Milan,Ukraine,Serie A,Fullback
122,Pervis Cucurella,LB,Manchester City,Belgium,Premier League,Fullback
123,Alex Chilwell,LB,Real Sociedad,Brazil,La Liga,Fullback
124,Destiny Mitchell,LB,Frankfurt,Ukraine,Bundesliga,Wingback
125,Oleksandr Estupinan,LB,Real Sociedad,Ukraine,La Liga,Falseback
126,Theo Chilwell,LB,Tottenham,Ukraine,Premier League,Attacking Wing Back
127,Alex Mykolenko,LB,Manchester City,Italy,Premier League,Wingback
128,Luke Shaw,LB,Aston Villa,England,Premier League,Fullback
129,Vitaliy Mykolenko,LB,Athletic Club,Algeria,La Liga,Falseback
130,Pervis Lodi,LB,Tottenham,France,Premier League,Wingback
131,Luke Balde,LB,Inter Milan,Brazil,Serie A,Fullback
132,Alejandro Mykolenko,LB,Bayern Munich,Scotland,Bundesliga,Fullback
133,Alejandro Guerreiro,LB,Athletic Club,Ecuador,La Liga,Fullback
134,Raphael Ait-Nouri,LB,AC Milan,Algeria,Serie A,Wingback
135,Raphael Mitchell,LB,AS Roma,Canada,Serie A,Wingback
136,Alphonso Davies,LB,Dortmund,England,Bundesliga,Attacking Wing Back
137,Jordi Estupinan,LB,Atletico Madrid,Canada,La Liga,Fullback
138,Theo Estupinan,LB,Liverpool,Algeria,Premier League,Fullback
139,Alphonso Alba,LB,Stuttgart,Netherlands,Bundesliga,Attacking Wing Back
140,Jose Tierney,LB,Frankfurt,Italy,Bundesliga,Attacking Wing Back
141,Rayan Zinchenko,LB,Nice,Scotland,Ligue 1,Fullback
142,Tyrick Shaw,LB,Lazio,Portugal,Serie A,Fullback
143,Marc Dimarco,LB,Bayer Leverkusen,France,Bundesliga,Wingback
144,Nuno Palmieri,LB,Lazio,Brazil,Serie A,Wingback
145,Ben Palmieri,LB,Inter Milan,Argentina,Serie A,Wingback
146,Pervis Digne,LB,Monaco,Spain,Ligue 1,Attacking Wing Back
147,Emerson Balde,LB,Frankfurt,Germany,Bundesliga,Wingback
148,Ian Hernandez,LB,Aston Villa,Germany,Premier League,Falseback
149,Renan Udogie,LB,Bologna,Ukraine,Serie A,Wingback
150,Tyrick Maatsen,LB,Juventus,Spain,Serie A,Wingback
151,Lucas Maatsen,LB,Real Madrid,Belgium,La Liga,Attacking Wing Back
152,Oleksandr Palmieri,LB,Lyon,Belgium,Ligue 1,Fullback
153,Ferland Hernandez,LB,Aston Villa,Portugal,Premier League,Attacking Wing Back
154,Ian Guerreiro,LB,Newcastle,Italy,Premier League,Fullback
155,Alex Ait-Nouri,LB,Manchester United,Brazil,Premier League,Fullback
156,Pervis Guerreiro,LB,Napoli,Brazil,Serie A,Falseback
157,Jose Hernandez,LB,Real Sociedad,Portugal,La Liga,Falseback
158,Lucas Sandro,LB,AS Roma,Portugal,Serie A,Falseback
159,Theo Tierney,LB,Manchester United,Scotland,Premier League,Falseback
160,Nuno Sandro,LB,AS Roma,Ecuador,Serie A,Falseback
161,Jose Mykolenko,LB,Dortmund,Ukraine,Bundesliga,Fullback
162,Kieran Digne,LB,Juventus,France,Serie A,Wingback
163,Ian Alba,LB,Atalanta,Canada,Serie A,Attacking Wing Back
164,Emerson Palmieri,LB,Bologna,Ukraine,Serie A,Fullback
165,Alphonso Maatsen,LB,Newcastle,Argentina,Premier League,Attacking Wing Back
166,Renan Guerreiro,LB,Girona,Algeria,La Liga,Falseback
167,Oleksandr Tierney,LB,Atalanta,Netherlands,Serie A,Falseback
168,Kieran Gaya,LB,West Ham,Brazil,Premier League,Fullback
169,Alex Estupinan,LB,Frankfurt,Germany,Bundesliga,Wingback
170,Lucas Udogie,LB,Monaco,Portugal,Ligue 1,Falseback
171,Nuno Mykolenko,LB,Lyon,Portugal,Ligue 1,Wingback
172,Vitaliy Gaya,LB,Stuttgart,Algeria,Bundesliga,Fullback
173,Alphonso Cucurella,LB,Bayern Munich,France,Bundesliga,Wingback
174,Alejandro Ait-Nouri,LB,AC Milan,Italy,Serie A,Falseback
175,Ferland Maatsen,LB,PSG,Italy,Ligue 1,Falseback
176,Andrew Balde,LB,Manchester United,France,Premier League,Falseback
177,Lucas Lodi,LB,Marseille,Spain,Ligue 1,Attacking Wing Back
178,Pervis Chilwell,LB,Lazio,Argentina,Serie A,Falseback
179,Lucas Mendy,LB,Newcastle,France,Premier League,Falseback
180,Jordi Cucurella,LB,Real Sociedad,Belgium,La Liga,Falseback
181,Federico Lodi,LB,Chelsea,France,Premier League,Wingback
182,Rayan Mendy,LB,Aston Villa,Spain,Premier League,Fullback
183,Ben Mendy,LB,Lazio,France,Serie A,Fullback
184,Oleksandr Palmieri,LB,Stuttgart,Ukraine,Bundesliga,Fullback
185,Alex Tierney,LB,Stuttgart,Netherlands,Bundesliga,Attacking Wing Back
186,Renan Cucurella,LB,Bologna,France,Serie A,Attacking Wing Back
187,Oleksandr Shaw,LB,Lazio,Belgium,Serie A,Wingback
188,Kieran Palmieri,LB,RB Leipzig,Spain,Bundesliga,Fullback
189,Raphael Gaya,LB,Manchester United,Germany,Premier League,Fullback
190,Alejandro Dimarco,LB,Dortmund,Spain,Bundesliga,Attacking Wing Back
191,Rayan Hernandez,LB,Liverpool,England,Premier League,Wingback
192,Jordi Lodi,LB,Real Sociedad,Belgium,La Liga,Fullback
193,Alex Palmieri,LB,Dortmund,Portugal,Bundesliga,Attacking Wing Back
194,Rayan Digne,LB,Girona,England,La Liga,Attacking Wing Back
195,Federico Lodi,LB,Newcastle,Ukraine,Premier League,Fullback
196,Jordi Ait-Nouri,LB,Atletico Madrid,Algeria,La Liga,Attacking Wing Back
197,Ferland Mendes,LB,Bayern Munich,England,Bundesliga,Attacking Wing Back
198,Ferland Mendy,LB,Real Madrid,Canada,La Liga,Attacking Wing Back
199,Alex Shaw,LB,Real Betis,Italy,La Liga,Attacking Wing Back
200,Andrew Sandro,LB,Lyon,England,Ligue 1,Falseback
201,Lucas Alba,LB,RB Leipzig,Brazil,Bundesliga,Attacking Wing Back
202,Marc Robertson,LB,Dortmund,Belgium,Bundesliga,Wingback
203,Jordi Chilwell,LB,Frankfurt,Algeria,Bundesliga,Falseback
204,Jordi Zinchenko,LB,Bologna,Canada,Serie A,Fullback
205,Ben Davies,LB,Bayer Leverkusen,Germany,Bundesliga,Wingback
206,Alex Balde,LB,Bayer Leverkusen,Canada,Bundesliga,Falseback
207,Federico Lodi,LB,Dortmund,Algeria,Bundesliga,Fullback
208,Andrew Lodi,LB,Frankfurt,Netherlands,Bundesliga,Wingback
209,Jordi Balde,LB,Stuttgart,Germany,Bundesliga,Falseback
210,Vitaliy Hernandez,LB,Aston Villa,Belgium,Premier League,Fullback
211,Kieran Robertson,LB,Liverpool,Scotland,Premier League,Wingback
212,Luke Hernandez,LB,Bayern Munich,Argentina,Bundesliga,Attacking Wing Back
213,Alejandro Balde,LB,Bologna,Portugal,Serie A,Falseback
214,Renan Chilwell,LB,Dortmund,Argentina,Bundesliga,Attacking Wing Back
215,Alphonso Chilwell,LB,Lille,Brazil,Ligue 1,Falseback
216,Renan Alba,LB,Bayern Munich,Algeria,Bundesliga,Attacking Wing Back
217,Federico Alba,LB,Valencia,Argentina,La Liga,Attacking Wing Back
218,Lucas Robertson,LB,Athletic Club,Canada,La Liga,Wingback
219,Pervis Mendes,LB,Monaco,Netherlands,Ligue 1,Fullback
220,Oleksandr Robertson,LB,AS Roma,Ukraine,Serie A,Falseback
221,Rayan Maatsen,LB,Chelsea,Belgium,Premier League,Attacking Wing Back
222,Luke Guerreiro,LB,Athletic Club,England,La Liga,Wingback
223,Rayan Lodi,LB,Bayern Munich,Ukraine,Bundesliga,Falseback
224,Ben Mykolenko,LB,Frankfurt,Portugal,Bundesliga,Wingback
225,Theo Robertson,LB,Juventus,Argentina,Serie A,Wingback
226,Tyrick Dimarco,LB,Manchester United,Germany,Premier League,Wingback
227,Federico Robertson,LB,Bayer Leverkusen,Germany,Bundesliga,Fullback
228,Theo Shaw,LB,Brest,Belgium,Ligue 1,Attacking Wing Back
229,Theo Mitchell,LB,RB Leipzig,Scotland,Bundesliga,Fullback
230,Alejandro Cucurella,LB,AC Milan,Scotland,Serie A,Attacking Wing Back
231,Luke Balde,LB,AS Roma,Argentina,Serie A,Falseback
232,Alejandro Lodi,LB,Bayern Munich,Argentina,Bundesliga,Fullback
233,Alejandro Guerreiro,LB,Lille,Spain,Ligue 1,Fullback
234,Renan Dimarco,LB,Dortmund,Argentina,Bundesliga,Attacking Wing Back
235,Luke Balde,LB,Inter Milan,Canada,Serie A,Falseback
236,Ferland Cucurella,LB,Brighton,Ukraine,Premier League,Fullback
237,Nuno Mykolenko,LB,Girona,Portugal,La Liga,Wingback
238,Ben Ait-Nouri,LB,Stuttgart,Spain,Bundesliga,Fullback
239,Lucas Tierney,LB,Brest,Ecuador,Ligue 1,Attacking Wing Back
240,Federico Ait-Nouri,LB,Atalanta,Algeria,Serie A,Wingback
241,Destiny Alba,LB,Brighton,Spain,Premier League,Wingback
242,Federico Mendy,LB,Brest,Ecuador,Ligue 1,Wingback
243,Alex Lodi,LB,Dortmund,Algeria,Bundesliga,Attacking Wing Back
244,Ferland Alba,LB,Lyon,France,Ligue 1,Fullback
245,Jordi Cucurella,LB,Stuttgart,Ecuador,Bundesliga,Wingback
246,Emerson Estupinan,LB,Manchester City,Spain,Premier League,Wingback
247,Renan Davies,LB,Real Sociedad,Canada,La Liga,Fullback
248,Kieran Hernandez,LB,AC Milan,Portugal,Serie A,Fullback
249,Andrew Palmieri,LB,Athletic Club,Scotland,La Liga,Falseback
250,Renan Chilwell,LB,Atletico Madrid,Germany,La Liga,Falseback
251,Jordi Chilwell,LB,Lyon,Brazil,Ligue 1,Attacking Wing Back
252,Oleksandr Tierney,LB,West Ham,Ecuador,Premier League,Falseback
253,Alphonso Robertson,LB,Juventus,Algeria,Serie A,Attacking Wing Back
254,Ben Davies,LB,Napoli,Scotland,Serie A,Attacking Wing Back
255,Luke Alba,LB,Bologna,France,Serie A,Wingback
256,Tyrick Cucurella,LB,Dortmund,Canada,Bundesliga,Falseback
257,Oleksandr Davies,LB,PSG,Ukraine,Ligue 1,Wingback
258,Alex Chilwell,LB,RB Leipzig,Brazil,Bundesliga,Wingback
259,Emerson Dimarco,LB,Marseille,Spain,Ligue 1,Wingback
260,Federico Sandro,LB,Bayern Munich,Ecuador,Bundesliga,Attacking Wing Back
261,Pervis Hernandez,LB,Dortmund,England,Bundesliga,Attacking Wing Back
262,Marc Hernandez,LB,Monaco,Italy,Ligue 1,Falseback
263,Ben Digne,LB,Manchester City,France,Premier League,Attacking Wing Back
264,Destiny Robertson,LB,Girona,Ecuador,La Liga,Wingback
265,Ferland Dimarco,LB,Real Madrid,Brazil,La Liga,Attacking Wing Back
266,Tyrick Dimarco,LB,RB Leipzig,Germany,Bundesliga,Wingback
267,Nuno Balde,LB,Juventus,Ecuador,Serie A,Attacking Wing Back
268,Alphonso Guerreiro,LB,Real Madrid,Netherlands,La Liga,Wingback
269,Jose Sandro,LB,Real Madrid,Argentina,La Liga,Attacking Wing Back
270,Emerson Lodi,LB,Nice,Scotland,Ligue 1,Wingback
271,Pervis Ait-Nouri,LB,Athletic Club,Argentina,La Liga,Falseback
272,Jordi Tierney,LB,Monaco,Portugal,Ligue 1,Attacking Wing Back
273,Alex Guerreiro,LB,Stuttgart,Brazil,Bundesliga,Wingback
274,Ben Lodi,LB,Stuttgart,Brazil,Bundesliga,Wingback
275,Alejandro Palmieri,LB,Valencia,Canada,La Liga,Wingback
276,Federico Mitchell,LB,AS Roma,Belgium,Serie A,Fullback
277,Renan Mendy,LB,Atalanta,Spain,Serie A,Wingback
278,Raphael Chilwell,LB,Manchester United,France,Premier League,Attacking Wing Back
279,Vitaliy Balde,LB,Real Madrid,Scotland,La Liga,Falseback
280,Vitaliy Hernandez,LB,Lille,Germany,Ligue 1,Wingback
281,Tyrick Robertson,LB,Liverpool,England,Premier League,Wingback
282,Theo Zinchenko,LB,Stuttgart,Scotland,Bundesliga,Fullback
283,Renan Mendy,LB,Stuttgart,Canada,Bundesliga,Attacking Wing Back
284,Vitaliy Palmieri,LB,Nice,France,Ligue 1,Falseback
285,Kieran Ait-Nouri,LB,Bayern Munich,Canada,Bundesliga,Attacking Wing Back
286,Destiny Maatsen,LB,Arsenal,Canada,Premier League,Fullback
287,Federico Maatsen,LB,Real Sociedad,Belgium,La Liga,Wingback
288,Theo Estupinan,LB,Girona,Brazil,La Liga,Wingback
289,Raphael Chilwell,LB,Brest,Ecuador,Ligue 1,Attacking Wing Back
290,Alex Mitchell,LB,Lyon,France,Ligue 1,Attacking Wing Back
291,Alphonso Balde,LB,Juventus,Argentina,Serie A,Falseback
292,Nuno Mykolenko,LB,Manchester United,Ukraine,Premier League,Fullback
293,Alex Zinchenko,LB,Brest,Ecuador,Ligue 1,Attacking Wing Back
294,Nuno Mykolenko,LB,Bayer Leverkusen,Ecuador,Bundesliga,Fullback
295,Kieran Dimarco,LB,RB Leipzig,Scotland,Bundesliga,Fullback
296,Andrew Tierney,LB,Bologna,France,Serie A,Attacking Wing Back
297,Oleksandr Dimarco,LB,Juventus,Brazil,Serie A,Attacking Wing Back
298,Oleksandr Gaya,LB,Nice,Italy,Ligue 1,Wingback
299,Federico Tierney,LB,Arsenal,Canada,Premier League,Falseback
300,Alex Davies,LB,Lille,Scotland,Ligue 1,Falseback
301,Vitaliy Davies,LB,Newcastle,England,Premier League,Attacking Wing Back
302,Kieran Zinchenko,LB,Real Betis,Ukraine,La Liga,Wingback
303,Alejandro Zinchenko,LB,West Ham,Argentina,Premier League,Wingback
304,Pervis Davies,LB,Marseille,Portugal,Ligue 1,Attacking Wing Back
305,Destiny Mendes,LB,Chelsea,Ecuador,Premier League,Fullback
306,Emerson Alba,LB,Monaco,Spain,Ligue 1,Wingback
307,Destiny Zinchenko,LB,Monaco,Portugal,Ligue 1,Attacking Wing Back
308,Nuno Gaya,LB,Frankfurt,France,Bundesliga,Attacking Wing Back
309,Rayan Palmieri,LB,Athletic Club,Argentina,La Liga,Attacking Wing Back
310,Luke Shaw,LB,Bayern Munich,Netherlands,Bundesliga,Wingback
311,Marc Chilwell,LB,Manchester City,Brazil,Premier League,Wingback
312,Jose Balde,LB,Tottenham,France,Premier League,Falseback
313,Ferland Mitchell,LB,Brest,Argentina,Ligue 1,Falseback
314,Andrew Cucurella,LB,Lyon,Canada,Ligue 1,Attacking Wing Back
315,Raphael Maatsen,LB,Valencia,Italy,La Liga,Attacking Wing Back
316,Nuno Udogie,LB,Stuttgart,Netherlands,Bundesliga,Attacking Wing Back
317,Ferland Mendes,LB,Real Betis,France,La Liga,Attacking Wing Back
318,Pervis Palmieri,LB,Brest,France,Ligue 1,Wingback
319,Nuno Lodi,LB,RB Leipzig,Netherlands,Bundesliga,Wingback
320,Vitaliy Maatsen,LB,Atletico Madrid,Portugal,La Liga,Fullback
321,Oleksandr Zinchenko,LB,Lyon,Algeria,Ligue 1,Fullback
322,Jordi Mitchell,LB,Monaco,England,Ligue 1,Fullback
323,Oleksandr Lodi,LB,Bologna,Spain,Serie A,Wingback
324,Federico Mendy,LB,Barcelona,Belgium,La Liga,Fullback
325,Alex Ait-Nouri,LB,Atalanta,Brazil,Serie A,Attacking Wing Back
326,Federico Chilwell,LB,Arsenal,Algeria,Premier League,Wingback
327,Kieran Ait-Nouri,LB,Brest,Belgium,Ligue 1,Falseback
328,Andrew Balde,LB,West Ham,Netherlands,Premier League,Attacking Wing Back
329,Luke Chilwell,LB,RB Leipzig,Spain,Bundesliga,Falseback
330,Destiny Palmieri,LB,Nice,Ecuador,Ligue 1,Fullback
331,Jordi Chilwell,LB,Real Sociedad,Spain,La Liga,Wingback
332,Emerson Palmieri,LB,RB Leipzig,Algeria,Bundesliga,Fullback
333,Tyrick Chilwell,LB,Bayer Leverkusen,Brazil,Bundesliga,Attacking Wing Back
334,Oleksandr Cucurella,LB,Atalanta,Canada,Serie A,Falseback
335,Federico Estupinan,LB,Manchester City,France,Premier League,Wingback
336,Nuno Chilwell,LB,Nice,France,Ligue 1,Wingback
337,Federico Guerreiro,LB,Lazio,Italy,Serie A,Fullback
338,Raphael Udogie,LB,Valencia,Italy,La Liga,Fullback
339,Nuno Estupinan,LB,Nice,Italy,Ligue 1,Fullback
340,Oleksandr Udogie,LB,Real Madrid,Argentina,La Liga,Falseback
341,Federico Alba,LB,Lille,Germany,Ligue 1,Falseback
342,Andrew Zinchenko,LB,Stuttgart,Algeria,Bundesliga,Falseback
343,Ferland Cucurella,LB,Bayer Leverkusen,Italy,Bundesliga,Wingback
344,Alphonso Udogie,LB,Newcastle,Argentina,Premier League,Attacking Wing Back
345,Vitaliy Alba,LB,Monaco,Argentina,Ligue 1,Falseback
346,Federico Robertson,LB,Manchester United,Ukraine,Premier League,Attacking Wing Back
347,Ferland Palmieri,LB,Atletico Madrid,Germany,La Liga,Falseback
348,Lucas Mitchell,LB,Tottenham,England,Premier League,Attacking Wing Back
349,Destiny Mendes,LB,Brest,Ukraine,Ligue 1,Falseback
350,Emerson Gaya,LB,Brighton,England,Premier League,Attacking Wing Back
351,Lucas Hernandez,LB,Real Betis,Brazil,La Liga,Wingback
352,Destiny Mendy,LB,Inter Milan,Ecuador,Serie A,Falseback
353,Alex Robertson,LB,Brest,Netherlands,Ligue 1,Attacking Wing Back
354,Andrew Estupinan,LB,Chelsea,England,Premier League,Fullback
355,Vitaliy Maatsen,LB,Athletic Club,England,La Liga,Falseback
356,Marc Mykolenko,LB,Bayern Munich,Ukraine,Bundesliga,Falseback
357,Jordi Mendes,LB,Brest,Germany,Ligue 1,Attacking Wing Back
358,Alphonso Shaw,LB,AS Roma,Ecuador,Serie A,Attacking Wing Back
359,Rayan Balde,LB,Dortmund,Germany,Bundesliga,Wingback
360,Andrew Udogie,LB,Monaco,Brazil,Ligue 1,Attacking Wing Back
361,Pervis Udogie,LB,Chelsea,Belgium,Premier League,Fullback
362,Pervis Mitchell,LB,Bayern Munich,Germany,Bundesliga,Fullback
363,Rayan Tierney,LB,Real Betis,Scotland,La Liga,Attacking Wing Back
364,Raphael Guerreiro,LB,AS Roma,Italy,Serie A,Falseback
365,Renan Dimarco,LB,AC Milan,England,Serie A,Attacking Wing Back
366,Alejandro Guerreiro,LB,Lyon,Algeria,Ligue 1,Falseback
367,Marc Lodi,LB,Valencia,Brazil,La Liga,Attacking Wing Back
368,Alphonso Shaw,LB,Dortmund,Canada,Bundesliga,Falseback
369,Marc Hernandez,LB,Atalanta,Spain,Serie A,Wingback
370,Ian Gaya,LB,Girona,Spain,La Liga,Falseback
371,Renan Ait-Nouri,LB,Real Sociedad,Canada,La Liga,Wingback
372,Alejandro Palmieri,LB,Liverpool,England,Premier League,Wingback
