Id,NamaPemain,Posisi,Club,Negara,Liga,PlayerInstruction
65,Kingsley Mbappe,LW,AC Milan,France,Serie A,Winger
66,Cody Heung-min,LW,Monaco,Brazil,Ligue 1,Inside Forward
67,Jeremy Diaz,LW,Valencia,France,La Liga,Winger
68,Marcus Garnacho,LW,Napoli,Argentina,Serie A,Winger
69,Ansu Leao,LW,Nice,England,Ligue 1,Winger
70,Ansu Kvaratskhelia,LW,Valencia,Germany,La Liga,Winger
71,Ansu Gakpo,LW,Brighton,Brazil,Premier League,Inside Forward
72,Kaoru Williams,LW,Bayer Leverkusen,Argentina,Bundesliga,Inside Forward
73,Marcus Junior,LW,Inter Milan,Brazil,Serie A,Winger
74,Harvey Gakpo,LW,Napoli,Ukraine,Serie A,Inside Forward
75,Son Kvaratskhelia,LW,Bayer Leverkusen,England,Bundesliga,Wide Playmaker
76,Ansu Gakpo,LW,Napoli,South Korea,Serie A,Inside Forward
77,Cody Grealish,LW,Valencia,Germany,La Liga,Inside Forward
78,Jadon Garnacho,LW,RB Leipzig,Germany,Bundesliga,Inside Forward
79,Harvey Kvaratskhelia,LW,PSG,South Korea,Ligue 1,Wide Playmaker
80,Ansu Leao,LW,Bayer Leverkusen,Ukraine,Bundesliga,Wide Playmaker
81,Harvey Heung-min,LW,Bologna,South Korea,Serie A,Inside Forward
82,Kingsley Coman,LW,West Ham,Ukraine,Premier League,Inside Forward
83,Vinicius Garnacho,LW,Bayern Munich,Colombia,Bundesliga,Wide Playmaker
84,Gabriel Sancho,LW,Newcastle,Spain,Premier League,Winger
85,Wilfried Mbappe,LW,Bayern Munich,South Korea,Bundesliga,Winger
86,Khvicha Junior,LW,Dortmund,Netherlands,Bundesliga,Wide Playmaker
87,Jack Junior,LW,Dortmund,Ukraine,Bundesliga,Wide Playmaker
88,Jack Grealish,LW,PSG,Ivory Coast,Ligue 1,Inside Forward
89,Kaoru Leao,LW,Valencia,Ivory Coast,La Liga,Wide Playmaker
90,Jeremy Zaha,LW,Marseille,Portugal,Ligue 1,Winger
91,Mykhailo Rashford,LW,Atletico Madrid,England,La Liga,Winger
92,Kingsley Martinelli,LW,Brest,Belgium,Ligue 1,Winger
93,Son Garnacho,LW,PSG,Belgium,Ligue 1,Inside Forward
94,Cody Mitoma,LW,Newcastle,Ukraine,Premier League,Winger
95,Rafael Garnacho,LW,Real Betis,France,La Liga,Winger
96,Kaoru Rashford,LW,Brest,Germany,Ligue 1,Winger
97,Alejandro Leao,LW,Bayer Leverkusen,Colombia,Bundesliga,Wide Playmaker
98,Jeremy Grealish,LW,Nice,Argentina,Ligue 1,Inside Forward
99,Marcus Martinelli,LW,Atletico Madrid,Argentina,La Liga,Inside Forward
100,Marcus Garnacho,LW,Napoli,South Korea,Serie A,Inside Forward
101,Kaoru Mbappe,LW,PSG,Georgia,Ligue 1,Winger
102,Alejandro Mudryk,LW,AS Roma,Colombia,Serie A,Inside Forward
103,Mykhailo Mbappe,LW,Lille,Brazil,Ligue 1,Winger
104,Nico Coman,LW,Aston Villa,Ukraine,Premier League,Winger
105,Harvey Sancho,LW,Bayern Munich,Belgium,Bundesliga,Wide Playmaker
106,Kingsley Mudryk,LW,AC Milan,Colombia,Serie A,Wide Playmaker
107,Jack Mitoma,LW,Bayer Leverkusen,Belgium,Bundesliga,Wide Playmaker
108,Kingsley Martinelli,LW,Lille,Ukraine,Ligue 1,Inside Forward
109,Mykhailo Junior,LW,AC Milan,Georgia,Serie A,Winger
110,Luis Rashford,LW,Girona,South Korea,La Liga,Wide Playmaker
111,Son Sancho,LW,Atletico Madrid,Belgium,La Liga,Wide Playmaker
112,Marcus Fati,LW,Bologna,South Korea,Serie A,Inside Forward
113,Son Martinelli,LW,Dortmund,Argentina,Bundesliga,Winger
114,Mykhailo Coman,LW,PSG,Argentina,Ligue 1,Inside Forward
115,Rafael Gakpo,LW,PSG,England,Ligue 1,Inside Forward
116,Gabriel Heung-min,LW,Bayer Leverkusen,Spain,Bundesliga,Winger
117,Gabriel Mitoma,LW,Atletico Madrid,Brazil,La Liga,Inside Forward
118,Marcus Coman,LW,Inter Milan,England,Serie A,Wide Playmaker
119,Khvicha Fati,LW,Arsenal,Netherlands,Premier League,Wide Playmaker
120,Marcus Martinelli,LW,PSG,Ukraine,Ligue 1,Wide Playmaker
121,Nico Barnes,LW,Tottenham,Georgia,Premier League,Wide Playmaker
122,Kylian Martinelli,LW,Real Sociedad,Argentina,La Liga,Wide Playmaker
123,Mykhailo Heung-min,LW,Juventus,Netherlands,Serie A,Inside Forward
124,Alejandro Rashford,LW,Liverpool,Colombia,Premier League,Winger
125,Vinicius Mitoma,LW,Tottenham,Brazil,Premier League,Wide Playmaker
126,Marcus Kvaratskhelia,LW,Juventus,Colombia,Serie A,Wide Playmaker
127,Vinicius Rashford,LW,Monaco,Netherlands,Ligue 1,Wide Playmaker
128,Ansu Mbappe,LW,Juventus,Japan,Serie A,Inside Forward
129,Mykhailo Barnes,LW,Bayer Leverkusen,Brazil,Bundesliga,Wide Playmaker
130,Vinicius Grealish,LW,Stuttgart,Belgium,Bundesliga,Wide Playmaker
131,Wilfried Gakpo,LW,Aston Villa,Germany,Premier League,Wide Playmaker
132,Jadon Sancho,LW,Dortmund,Japan,Bundesliga,Winger
133,Khvicha Kvaratskhelia,LW,Nice,Brazil,Ligue 1,Winger
134,Marcus Mbappe,LW,Bayern Munich,Netherlands,Bundesliga,Wide Playmaker
135,Cody Mbappe,LW,Monaco,Spain,Ligue 1,Winger
136,Jadon Mudryk,LW,Real Sociedad,Germany,La Liga,Wide Playmaker
137,Jack Gakpo,LW,Marseille,Spain,Ligue 1,Inside Forward
138,Kylian Grealish,LW,Monaco,Belgium,Ligue 1,Wide Playmaker
139,Alejandro Rashford,LW,Bayer Leverkusen,Ukraine,Bundesliga,Winger
140,Alejandro Barnes,LW,Lazio,England,Serie A,Inside Forward
141,Jadon Barnes,LW,Bayer Leverkusen,Japan,Bundesliga,Winger
142,Khvicha Garnacho,LW,Arsenal,Colombia,Premier League,Wide Playmaker
143,Jeremy Barnes,LW,PSG,Ivory Coast,Ligue 1,Wide Playmaker
144,Cody Leao,LW,Frankfurt,Germany,Bundesliga,Inside Forward
145,Jack Mbappe,LW,Brest,Georgia,Ligue 1,Wide Playmaker
146,Mykhailo Diaz,LW,Real Madrid,Brazil,La Liga,Wide Playmaker
147,Kylian Coman,LW,Newcastle,England,Premier League,Wide Playmaker
148,Kingsley Sancho,LW,Bayern Munich,Japan,Bundesliga,Inside Forward
149,Nico Doku,LW,AC Milan,Ukraine,Serie A,Wide Playmaker
150,Rafael Zaha,LW,Valencia,Belgium,La Liga,Inside Forward
151,Khvicha Heung-min,LW,Girona,France,La Liga,Inside Forward
152,Jeremy Gakpo,LW,Real Sociedad,Ivory Coast,La Liga,Winger
153,Alejandro Leao,LW,Nice,Ukraine,Ligue 1,Wide Playmaker
154,Vinicius Gakpo,LW,PSG,Colombia,Ligue 1,Wide Playmaker
155,Jack Grealish,LW,Bayer Leverkusen,Brazil,Bundesliga,Inside Forward
156,Harvey Zaha,LW,Inter Milan,Belgium,Serie A,Inside Forward
157,Jeremy Williams,LW,Real Sociedad,Netherlands,La Liga,Wide Playmaker
158,Kaoru Diaz,LW,Stuttgart,Portugal,Bundesliga,Wide Playmaker
159,Jeremy Garnacho,LW,Bayern Munich,Colombia,Bundesliga,Wide Playmaker
160,Gabriel Junior,LW,Lyon,Ivory Coast,Ligue 1,Winger
161,Cody Barnes,LW,Stuttgart,Portugal,Bundesliga,Wide Playmaker
162,Nico Junior,LW,Bologna,Argentina,Serie A,Inside Forward
163,Cody Mitoma,LW,Atletico Madrid,France,La Liga,Inside Forward
164,Jadon Mudryk,LW,Stuttgart,Germany,Bundesliga,Wide Playmaker
165,Jeremy Williams,LW,Bayer Leverkusen,Japan,Bundesliga,Winger
166,Ansu Coman,LW,Athletic Club,Belgium,La Liga,Wide Playmaker
167,Jeremy Kvaratskhelia,LW,Tottenham,Argentina,Premier League,Wide Playmaker
168,Rafael Mitoma,LW,Lyon,Georgia,Ligue 1,Inside Forward
169,Cody Rashford,LW,Manchester City,South Korea,Premier League,Inside Forward
170,Cody Gakpo,LW,Bayern Munich,Ukraine,Bundesliga,Inside Forward
171,Khvicha Garnacho,LW,AS Roma,England,Serie A,Wide Playmaker
172,Jack Doku,LW,Newcastle,Germany,Premier League,Wide Playmaker
173,Jeremy Gakpo,LW,Frankfurt,Spain,Bundesliga,Inside Forward
174,Wilfried Junior,LW,Dortmund,Netherlands,Bundesliga,Winger
175,Mykhailo Fati,LW,Arsenal,Ivory Coast,Premier League,Wide Playmaker
176,Kylian Zaha,LW,Lyon,Brazil,Ligue 1,Inside Forward
177,Jeremy Diaz,LW,Nice,Germany,Ligue 1,Wide Playmaker
178,Khvicha Williams,LW,Athletic Club,Belgium,La Liga,Wide Playmaker
179,Harvey Barnes,LW,RB Leipzig,Ivory Coast,Bundesliga,Inside Forward
180,Son Doku,LW,Monaco,Germany,Ligue 1,Wide Playmaker
181,Harvey Williams,LW,Bologna,Germany,Serie A,Wide Playmaker
182,Vinicius Mitoma,LW,PSG,Colombia,Ligue 1,Wide Playmaker
183,Marcus Kvaratskhelia,LW,Lazio,Argentina,Serie A,Inside Forward
184,Jack Mbappe,LW,Juventus,Ivory Coast,Serie A,Winger
185,Ansu Kvaratskhelia,LW,Real Madrid,Netherlands,La Liga,Winger
186,Nico Williams,LW,Marseille,South Korea,Ligue 1,Winger
187,Jack Grealish,LW,RB Leipzig,South Korea,Bundesliga,Wide Playmaker
188,Jadon Mbappe,LW,PSG,France,Ligue 1,Wide Playmaker
189,Alejandro Fati,LW,Lazio,South Korea,Serie A,Inside Forward
190,Kylian Williams,LW,Atletico Madrid,Belgium,La Liga,Winger
191,Harvey Heung-min,LW,Dortmund,Portugal,Bundesliga,Wide Playmaker
192,Mykhailo Coman,LW,Monaco,Japan,Ligue 1,Inside Forward
193,Khvicha Rashford,LW,Atletico Madrid,Georgia,La Liga,Wide Playmaker
194,Ansu Heung-min,LW,Stuttgart,Portugal,Bundesliga,Wide Playmaker
195,Gabriel Grealish,LW,Atletico Madrid,Georgia,La Liga,Winger
196,Ansu Barnes,LW,Napoli,Georgia,Serie A,Wide Playmaker
197,Kylian Gakpo,LW,Marseille,Netherlands,Ligue 1,Wide Playmaker
198,Ansu Garnacho,LW,Chelsea,Brazil,Premier League,Inside Forward
199,Marcus Zaha,LW,Marseille,Colombia,Ligue 1,Winger
200,Kaoru Leao,LW,Juventus,Netherlands,Serie A,Wide Playmaker
201,Jack Martinelli,LW,Frankfurt,South Korea,Bundesliga,Inside Forward
202,Gabriel Diaz,LW,Real Madrid,Belgium,La Liga,Wide Playmaker
203,Marcus Martinelli,LW,RB Leipzig,Belgium,Bundesliga,Wide Playmaker
204,Khvicha Sancho,LW,Stuttgart,Japan,Bundesliga,Inside Forward
205,Harvey Zaha,LW,AS Roma,Georgia,Serie A,Wide Playmaker
206,Wilfried Mitoma,LW,Dortmund,Colombia,Bundesliga,Wide Playmaker
207,Gabriel Martinelli,LW,Athletic Club,England,La Liga,Wide Playmaker
208,Alejandro Grealish,LW,Frankfurt,Japan,Bundesliga,Winger
209,Luis Rashford,LW,RB Leipzig,Portugal,Bundesliga,Inside Forward
210,Wilfried Junior,LW,Bologna,Ivory Coast,Serie A,Wide Playmaker
211,Wilfried Doku,LW,AC Milan,Portugal,Serie A,Inside Forward
212,Wilfried Sancho,LW,Real Madrid,Germany,La Liga,Inside Forward
213,Kylian Mbappe,LW,Brest,Portugal,Ligue 1,Wide Playmaker
214,Harvey Martinelli,LW,Atalanta,Germany,Serie A,Inside Forward
215,Luis Mitoma,LW,Inter Milan,Japan,Serie A,Wide Playmaker
216,Khvicha Coman,LW,Real Betis,Argentina,La Liga,Wide Playmaker
217,Kylian Gakpo,LW,PSG,Portugal,Ligue 1,Wide Playmaker
218,Kaoru Williams,LW,Bologna,England,Serie A,Wide Playmaker
219,Harvey Leao,LW,Nice,Belgium,Ligue 1,Wide Playmaker
220,Nico Kvaratskhelia,LW,Atletico Madrid,Argentina,La Liga,Winger
221,Jeremy Gakpo,LW,Girona,Portugal,La Liga,Wide Playmaker
222,Jeremy Williams,LW,Real Betis,Ukraine,La Liga,Inside Forward
223,Wilfried Mitoma,LW,Lille,South Korea,Ligue 1,Winger
224,Khvicha Mudryk,LW,Bayern Munich,Portugal,Bundesliga,Wide Playmaker
225,Khvicha Mudryk,LW,Atletico Madrid,Ukraine,La Liga,Winger
226,Jadon Sancho,LW,Atletico Madrid,Ivory Coast,La Liga,Inside Forward
227,Ansu Grealish,LW,Real Sociedad,Germany,La Liga,Winger
228,Harvey Gakpo,LW,Stuttgart,South Korea,Bundesliga,Inside Forward
229,Gabriel Coman,LW,Bayer Leverkusen,Argentina,Bundesliga,Inside Forward
230,Kingsley Martinelli,LW,Lyon,Spain,Ligue 1,Wide Playmaker
231,Jeremy Mbappe,LW,Arsenal,Ukraine,Premier League,Wide Playmaker
232,Alejandro Sancho,LW,AC Milan,Brazil,Serie A,Wide Playmaker
233,Mykhailo Grealish,LW,AC Milan,Netherlands,Serie A,Inside Forward
234,Vinicius Williams,LW,Nice,Japan,Ligue 1,Winger
235,Jack Fati,LW,Bayer Leverkusen,Portugal,Bundesliga,Winger
236,Wilfried Barnes,LW,Brest,Spain,Ligue 1,Winger
237,Ansu Zaha,LW,Nice,Belgium,Ligue 1,Wide Playmaker
238,Mykhailo Mudryk,LW,Juventus,Germany,Serie A,Inside Forward
239,Nico Coman,LW,Monaco,Netherlands,Ligue 1,Winger
240,Kaoru Heung-min,LW,Athletic Club,Ukraine,La Liga,Wide Playmaker
241,Mykhailo Coman,LW,Atalanta,South Korea,Serie A,Wide Playmaker
242,Jadon Sancho,LW,Frankfurt,Spain,Bundesliga,Inside Forward
243,Vinicius Heung-min,LW,Lazio,England,Serie A,Wide Playmaker
244,Rafael Grealish,LW,Lille,Netherlands,Ligue 1,Winger
245,Luis Martinelli,LW,Real Betis,France,La Liga,Inside Forward
246,Kylian Junior,LW,Real Betis,Argentina,La Liga,Wide Playmaker
247,Kaoru Rashford,LW,Aston Villa,Ukraine,Premier League,Wide Playmaker
248,Kylian Rashford,LW,Barcelona,Ivory Coast,La Liga,Wide Playmaker
249,Rafael Mbappe,LW,Inter Milan,Brazil,Serie A,Inside Forward
250,Kingsley Leao,LW,AC Milan,Brazil,Serie A,Wide Playmaker
251,Alejandro Barnes,LW,Barcelona,Ukraine,La Liga,Winger
252,Jeremy Sancho,LW,Brest,Brazil,Ligue 1,Wide Playmaker
253,Vinicius Mbappe,LW,Bologna,Germany,Serie A,Winger
254,Khvicha Mbappe,LW,Inter Milan,South Korea,Serie A,Inside Forward
255,Kingsley Mbappe,LW,Marseille,Japan,Ligue 1,Inside Forward
256,Vinicius Barnes,LW,Atletico Madrid,Germany,La Liga,Winger
257,Vinicius Diaz,LW,Nice,South Korea,Ligue 1,Wide Playmaker
258,Ansu Gakpo,LW,Valencia,Brazil,La Liga,Wide Playmaker
259,Cody Junior,LW,Brest,Spain,Ligue 1,Wide Playmaker
260,Jadon Heung-min,LW,Real Betis,Spain,La Liga,Winger
261,Khvicha Martinelli,LW,Real Sociedad,Portugal,La Liga,Wide Playmaker
262,Kylian Heung-min,LW,Real Madrid,Japan,La Liga,Inside Forward
263,Wilfried Garnacho,LW,Brest,Spain,Ligue 1,Winger
264,Nico Mudryk,LW,Manchester City,Spain,Premier League,Wide Playmaker
265,Nico Garnacho,LW,Monaco,South Korea,Ligue 1,Winger
266,Vinicius Garnacho,LW,Liverpool,England,Premier League,Inside Forward
267,Mykhailo Sancho,LW,Liverpool,Georgia,Premier League,Winger
268,Gabriel Martinelli,LW,Athletic Club,Ukraine,La Liga,Winger
269,Jeremy Gakpo,LW,Bologna,Ukraine,Serie A,Winger
270,Wilfried Coman,LW,Bayer Leverkusen,South Korea,Bundesliga,Wide Playmaker
271,Mykhailo Mbappe,LW,Stuttgart,Belgium,Bundesliga,Wide Playmaker
272,Jeremy Zaha,LW,Real Madrid,Georgia,La Liga,Winger
273,Kingsley Martinelli,LW,Frankfurt,Georgia,Bundesliga,Wide Playmaker
274,Jack Leao,LW,Frankfurt,Ukraine,Bundesliga,Wide Playmaker
275,Cody Garnacho,LW,Manchester City,France,Premier League,Wide Playmaker
276,Gabriel Rashford,LW,RB Leipzig,Argentina,Bundesliga,Winger
277,Jeremy Barnes,LW,Dortmund,Ivory Coast,Bundesliga,Wide Playmaker
278,Luis Coman,LW,Lyon,Netherlands,Ligue 1,Winger
279,Jeremy Kvaratskhelia,LW,Newcastle,Portugal,Premier League,Winger
280,Vinicius Williams,LW,Lyon,Germany,Ligue 1,Inside Forward
281,Jack Rashford,LW,Stuttgart,Ivory Coast,Bundesliga,Wide Playmaker
282,Rafael Coman,LW,Bologna,Spain,Serie A,Winger
283,Mykhailo Barnes,LW,Inter Milan,Portugal,Serie A,Inside Forward
284,Mykhailo Kvaratskhelia,LW,Barcelona,South Korea,La Liga,Wide Playmaker
285,Khvicha Junior,LW,Newcastle,Brazil,Premier League,Winger
286,Jeremy Kvaratskhelia,LW,Liverpool,Colombia,Premier League,Inside Forward
287,Cody Sancho,LW,Manchester United,England,Premier League,Wide Playmaker
288,Kingsley Sancho,LW,RB Leipzig,Germany,Bundesliga,Inside Forward
289,Jeremy Kvaratskhelia,LW,Atalanta,Argentina,Serie A,Inside Forward
290,Khvicha Garnacho,LW,Athletic Club,Georgia,La Liga,Wide Playmaker
291,Harvey Heung-min,LW,RB Leipzig,Germany,Bundesliga,Winger
292,Kylian Doku,LW,Dortmund,South Korea,Bundesliga,Inside Forward
293,Ansu Junior,LW,Bayern Munich,South Korea,Bundesliga,Wide Playmaker
294,Alejandro Grealish,LW,Aston Villa,South Korea,Premier League,Winger
295,Kaoru Zaha,LW,Real Madrid,South Korea,La Liga,Inside Forward
296,Harvey Coman,LW,AC Milan,Netherlands,Serie A,Winger
297,Cody Junior,LW,Aston Villa,Germany,Premier League,Inside Forward
298,Kingsley Diaz,LW,Juventus,Brazil,Serie A,Inside Forward
299,Cody Leao,LW,Chelsea,South Korea,Premier League,Wide Playmaker
300,Marcus Mudryk,LW,Lazio,Georgia,Serie A,Winger
301,Mykhailo Kvaratskhelia,LW,Monaco,South Korea,Ligue 1,Winger
302,Rafael Zaha,LW,Manchester United,Japan,Premier League,Inside Forward
303,Vinicius Rashford,LW,Stuttgart,Ukraine,Bundesliga,Winger
304,Harvey Coman,LW,Bayern Munich,Netherlands,Bundesliga,Inside Forward
305,Khvicha Mudryk,LW,Atalanta,France,Serie A,Inside Forward
306,Vinicius Coman,LW,Dortmund,Japan,Bundesliga,Inside Forward
307,Son Martinelli,LW,Stuttgart,Netherlands,Bundesliga,Wide Playmaker
308,Marcus Williams,LW,Tottenham,Portugal,Premier League,Inside Forward
309,Jadon Garnacho,LW,PSG,Portugal,Ligue 1,Inside Forward
310,Kingsley Garnacho,LW,Tottenham,Spain,Premier League,Wide Playmaker
311,Nico Grealish,LW,AS Roma,Spain,Serie A,Inside Forward
312,Son Grealish,LW,Athletic Club,Netherlands,La Liga,Wide Playmaker
313,Luis Fati,LW,Inter Milan,Brazil,Serie A,Winger
314,Ansu Martinelli,LW,Juventus,Ukraine,Serie A,Inside Forward
315,Marcus Mitoma,LW,Brighton,South Korea,Premier League,Wide Playmaker
316,Kaoru Garnacho,LW,Real Betis,Belgium,La Liga,Winger
317,Jadon Gakpo,LW,Barcelona,South Korea,La Liga,Winger
318,Jeremy Grealish,LW,Stuttgart,Portugal,Bundesliga,Winger
319,Alejandro Junior,LW,AC Milan,Ukraine,Serie A,Winger
320,Ansu Sancho,LW,Marseille,Japan,Ligue 1,Inside Forward
321,Kylian Mudryk,LW,Dortmund,Spain,Bundesliga,Wide Playmaker
322,Luis Barnes,LW,Napoli,England,Serie A,Winger
323,Kingsley Williams,LW,Stuttgart,Ukraine,Bundesliga,Winger
324,Rafael Barnes,LW,Marseille,Japan,Ligue 1,Winger
325,Cody Martinelli,LW,Marseille,France,Ligue 1,Inside Forward
326,Kingsley Mitoma,LW,Brighton,France,Premier League,Winger
327,Alejandro Mudryk,LW,Real Sociedad,Japan,La Liga,Wide Playmaker
328,Kylian Fati,LW,RB Leipzig,Germany,Bundesliga,Wide Playmaker
329,Wilfried Leao,LW,Juventus,Portugal,Serie A,Wide Playmaker
330,Gabriel Mudryk,LW,Arsenal,South Korea,Premier League,Inside Forward
331,Vinicius Garnacho,LW,Bayer Leverkusen,Belgium,Bundesliga,Wide Playmaker
332,Kylian Sancho,LW,Manchester United,Ivory Coast,Premier League,Inside Forward
333,Gabriel Barnes,LW,Napoli,Portugal,Serie A,Winger
334,Cody Kvaratskhelia,LW,Real Madrid,Germany,La Liga,Wide Playmaker
335,Jack Mitoma,LW,Monaco,Portugal,Ligue 1,Winger
336,Alejandro Mudryk,LW,Marseille,Germany,Ligue 1,Inside Forward
337,Rafael Mudryk,LW,Girona,Germany,La Liga,Winger
338,Son Garnacho,LW,Girona,England,La Liga,Wide Playmaker
339,Jadon Martinelli,LW,Juventus,Colombia,Serie A,Inside Forward
340,Marcus Heung-min,LW,Brest,South Korea,Ligue 1,Wide Playmaker
341,Khvicha Diaz,LW,Barcelona,France,La Liga,Winger
342,Alejandro Garnacho,LW,Manchester City,South Korea,Premier League,Wide Playmaker
343,Wilfried Sancho,LW,Atalanta,Portugal,Serie A,Inside Forward
344,Harvey Barnes,LW,PSG,Belgium,Ligue 1,Wide Playmaker
345,Kylian Diaz,LW,Athletic Club,Spain,La Liga,Wide Playmaker
346,Mykhailo Mbappe,LW,Juventus,Georgia,Serie A,Inside Forward
347,Harvey Leao,LW,Stuttgart,Japan,Bundesliga,Wide Playmaker
348,Gabriel Mbappe,LW,Girona,South Korea,La Liga,Wide Playmaker
349,Mykhailo Coman,LW,PSG,Georgia,Ligue 1,Inside Forward
350,Jack Sancho,LW,Valencia,Netherlands,La Liga,Winger
351,Marcus Doku,LW,Manchester City,Netherlands,Premier League,Inside Forward
352,Kylian Doku,LW,Lille,England,Ligue 1,Winger
353,Nico Leao,LW,Bayer Leverkusen,Ivory Coast,Bundesliga,Inside Forward
354,Jack Martinelli,LW,Inter Milan,Spain,Serie A,Winger
355,Marcus Zaha,LW,Marseille,Argentina,Ligue 1,Inside Forward
356,Kingsley Garnacho,LW,Atalanta,Spain,Serie A,Winger
357,Jeremy Williams,LW,PSG,France,Ligue 1,Winger
358,Mykhailo Diaz,LW,Athletic Club,Ivory Coast,La Liga,Winger
359,Wilfried Sancho,LW,Frankfurt,Japan,Bundesliga,Inside Forward
360,Gabriel Rashford,LW,Lyon,Belgium,Ligue 1,Inside Forward
361,Wilfried Sancho,LW,Bayer Leverkusen,France,Bundesliga,Winger
362,Kylian Gakpo,LW,AS Roma,Argentina,Serie A,Inside Forward
363,Harvey Junior,LW,Girona,South Korea,La Liga,Wide Playmaker
