Id,NamaPemain,Posisi,Club,Negara,Liga,PlayerInstruction
148,Paulo Guler,CAM,RB Leipzig,Argentina,Bundesliga,Half Winger
149,Mason Foden,CAM,Stuttgart,Colombia,Bundesliga,Playmaker
150,Martin Foden,CAM,Aston Villa,Netherlands,Premier League,Classic 10
151,Dominik Kang-in,CAM,Lille,Portugal,Ligue 1,Half Winger
152,Dani Alvarez,CAM,Bayer Leverkusen,Uruguay,Bundesliga,Half Winger
153,Dani Kang-in,CAM,Bologna,Uruguay,Serie A,Half Winger
154,Eberechi Szoboszlai,CAM,Bayer Leverkusen,South Korea,Bundesliga,Shadow Striker
155,Julian Gibbs-White,CAM,Dortmund,Brazil,Bundesliga,Playmaker
156,Julian Olmo,CAM,Manchester City,Morocco,Premier League,Half Winger
157,Dani Musiala,CAM,Atalanta,Colombia,Serie A,Shadow Striker
158,Cole Gibbs-White,CAM,Brest,Uruguay,Ligue 1,Shadow Striker
159,Brahim Fernandes,CAM,Real Madrid,Spain,La Liga,Classic 10
160,Arda Musiala,CAM,Liverpool,Netherlands,Premier League,Shadow Striker
161,Martin Kubo,CAM,Real Sociedad,Colombia,La Liga,Playmaker
162,Jamal Fernandes,CAM,Juventus,South Korea,Serie A,Half Winger
163,Cole Olmo,CAM,Lyon,Germany,Ligue 1,Half Winger
164,Arda Kubo,CAM,Real Sociedad,Norway,La Liga,Shadow Striker
165,Morgan Szoboszlai,CAM,Stuttgart,Argentina,Bundesliga,Classic 10
166,Dani Maddison,CAM,Chelsea,South Korea,Premier League,Half Winger
167,Morgan Foden,CAM,Marseille,Netherlands,Ligue 1,Shadow Striker
168,Arda Eze,CAM,Atalanta,Turkey,Serie A,Playmaker
169,James Guler,CAM,Real Sociedad,England,La Liga,Classic 10
170,Dominik Foden,CAM,Brest,Argentina,Ligue 1,Classic 10
171,Christopher Diaz,CAM,Nice,Japan,Ligue 1,Classic 10
172,Cole Olmo,CAM,Napoli,Japan,Serie A,Classic 10
173,Dominik Eze,CAM,Brest,Norway,Ligue 1,Shadow Striker
174,Brahim Foden,CAM,Athletic Club,Netherlands,La Liga,Half Winger
175,Arda Alvarez,CAM,Lazio,Colombia,Serie A,Shadow Striker
176,Dominik Simons,CAM,RB Leipzig,France,Bundesliga,Shadow Striker
177,Cole Wirtz,CAM,Tottenham,Argentina,Premier League,Half Winger
178,Florian Dybala,CAM,Athletic Club,Brazil,La Liga,Classic 10
179,Christopher Wirtz,CAM,Barcelona,Germany,La Liga,Half Winger
180,Martin Nkunku,CAM,Bayern Munich,Uruguay,Bundesliga,Shadow Striker
181,Lee Mount,CAM,Barcelona,Morocco,La Liga,Half Winger
182,Florian Eze,CAM,Brighton,Colombia,Premier League,Half Winger
183,Xavi Palmer,CAM,Marseille,Portugal,Ligue 1,Shadow Striker
184,Phil Foden,CAM,Bayer Leverkusen,Portugal,Bundesliga,Shadow Striker
185,Christopher Foden,CAM,RB Leipzig,Argentina,Bundesliga,Shadow Striker
186,Jamal Mount,CAM,Aston Villa,England,Premier League,Playmaker
187,Brahim Gibbs-White,CAM,Juventus,South Korea,Serie A,Playmaker
188,Eberechi Kang-in,CAM,Dortmund,Japan,Bundesliga,Playmaker
189,Arda Guler,CAM,Liverpool,Turkey,Premier League,Classic 10
190,Christopher Wirtz,CAM,Napoli,Morocco,Serie A,Half Winger
191,Morgan Maddison,CAM,Real Betis,Uruguay,La Liga,Shadow Striker
192,Christopher Diaz,CAM,Atletico Madrid,Portugal,La Liga,Half Winger
193,Xavi Kang-in,CAM,Bayern Munich,France,Bundesliga,Half Winger
194,Lee Gibbs-White,CAM,AS Roma,Norway,Serie A,Playmaker
195,Paulo Diaz,CAM,Nice,Morocco,Ligue 1,Shadow Striker
196,Mason Nkunku,CAM,West Ham,Portugal,Premier League,Classic 10
197,Bruno Dybala,CAM,Bologna,Morocco,Serie A,Classic 10
198,Lee Eze,CAM,Lyon,Germany,Ligue 1,Classic 10
199,Phil Musiala,CAM,Stuttgart,Uruguay,Bundesliga,Playmaker
200,Arda Mount,CAM,Real Madrid,Japan,La Liga,Classic 10
201,Dominik Guler,CAM,PSG,England,Ligue 1,Half Winger
202,James Kang-in,CAM,Athletic Club,Turkey,La Liga,Shadow Striker
203,James Szoboszlai,CAM,Stuttgart,Norway,Bundesliga,Shadow Striker
204,Jamal Gibbs-White,CAM,Girona,Germany,La Liga,Half Winger
205,Dominik Eze,CAM,Newcastle,Netherlands,Premier League,Playmaker
206,James Mount,CAM,Tottenham,France,Premier League,Classic 10
207,Eberechi Nkunku,CAM,West Ham,Uruguay,Premier League,Classic 10
208,Dani Szoboszlai,CAM,Manchester United,England,Premier League,Playmaker
209,Bruno Fernandes,CAM,Monaco,Colombia,Ligue 1,Half Winger
210,Phil Eze,CAM,Marseille,Turkey,Ligue 1,Playmaker
211,Eberechi Mount,CAM,Aston Villa,Uruguay,Premier League,Classic 10
212,Xavi Diaz,CAM,RB Leipzig,Brazil,Bundesliga,Half Winger
213,Julian Kang-in,CAM,Bologna,Germany,Serie A,Shadow Striker
214,Christopher Foden,CAM,Lille,Brazil,Ligue 1,Classic 10
215,James Fernandes,CAM,Brighton,Germany,Premier League,Half Winger
216,Christopher Dybala,CAM,Lyon,France,Ligue 1,Shadow Striker
217,Jamal Alvarez,CAM,Nice,Netherlands,Ligue 1,Shadow Striker
218,Lee Fernandes,CAM,Brighton,Spain,Premier League,Half Winger
219,Mason Musiala,CAM,PSG,South Korea,Ligue 1,Shadow Striker
220,Brahim Diaz,CAM,Chelsea,France,Premier League,Classic 10
221,Dani Olmo,CAM,Athletic Club,South Korea,La Liga,Playmaker
222,Christopher Guler,CAM,Lyon,Colombia,Ligue 1,Shadow Striker
223,Arda Odegaard,CAM,Real Sociedad,England,La Liga,Playmaker
224,Florian Mount,CAM,Lazio,Spain,Serie A,Shadow Striker
225,Bruno Alvarez,CAM,Arsenal,Uruguay,Premier League,Playmaker
226,Cole Simons,CAM,Lille,Portugal,Ligue 1,Playmaker
227,Martin Kang-in,CAM,Bayer Leverkusen,South Korea,Bundesliga,Shadow Striker
228,Arda Kubo,CAM,Monaco,Portugal,Ligue 1,Half Winger
229,Arda Olmo,CAM,Atalanta,England,Serie A,Shadow Striker
230,Eberechi Guler,CAM,Lyon,Argentina,Ligue 1,Half Winger
231,Bruno Nkunku,CAM,Atalanta,Netherlands,Serie A,Playmaker
232,Florian Alvarez,CAM,Newcastle,Germany,Premier League,Shadow Striker
233,Paulo Eze,CAM,Atletico Madrid,Morocco,La Liga,Classic 10
234,Mason Dybala,CAM,Frankfurt,Spain,Bundesliga,Half Winger
235,Julian Fernandes,CAM,Athletic Club,South Korea,La Liga,Shadow Striker
236,Lee Fernandes,CAM,Manchester United,France,Premier League,Shadow Striker
237,Xavi Palmer,CAM,Barcelona,Colombia,La Liga,Half Winger
238,James Foden,CAM,Aston Villa,Netherlands,Premier League,Playmaker
239,Lee Diaz,CAM,Arsenal,Colombia,Premier League,Classic 10
240,Lee Kang-in,CAM,Valencia,Argentina,La Liga,Classic 10
241,Dominik Nkunku,CAM,Newcastle,Japan,Premier League,Playmaker
242,Brahim Diaz,CAM,AS Roma,Colombia,Serie A,Playmaker
243,Lee Nkunku,CAM,RB Leipzig,Morocco,Bundesliga,Shadow Striker
244,Paulo Simons,CAM,Bayern Munich,Turkey,Bundesliga,Playmaker
245,Dominik Diaz,CAM,Stuttgart,France,Bundesliga,Half Winger
246,James Palmer,CAM,Atalanta,Germany,Serie A,Shadow Striker
247,Julian Simons,CAM,Barcelona,Turkey,La Liga,Shadow Striker
248,Paulo Fernandes,CAM,Bayer Leverkusen,Turkey,Bundesliga,Half Winger
249,Phil Diaz,CAM,Nice,Netherlands,Ligue 1,Half Winger
250,Paulo Szoboszlai,CAM,Brest,Brazil,Ligue 1,Half Winger
251,Eberechi Kang-in,CAM,Valencia,Morocco,La Liga,Shadow Striker
252,Cole Foden,CAM,Bologna,Brazil,Serie A,Classic 10
253,Takefusa Olmo,CAM,Bayern Munich,Japan,Bundesliga,Playmaker
254,Dani Nkunku,CAM,Lyon,Germany,Ligue 1,Shadow Striker
255,Julian Szoboszlai,CAM,Manchester City,Turkey,Premier League,Half Winger
256,Martin Mount,CAM,AS Roma,Netherlands,Serie A,Half Winger
257,Christopher Szoboszlai,CAM,Bologna,South Korea,Serie A,Shadow Striker
258,Mason Palmer,CAM,Bayer Leverkusen,Brazil,Bundesliga,Playmaker
259,Arda Fernandes,CAM,Girona,Spain,La Liga,Classic 10
260,Brahim Musiala,CAM,Juventus,Portugal,Serie A,Shadow Striker
261,Takefusa Kang-in,CAM,Stuttgart,Netherlands,Bundesliga,Playmaker
262,Morgan Eze,CAM,Frankfurt,Norway,Bundesliga,Shadow Striker
263,Xavi Foden,CAM,Bayer Leverkusen,Japan,Bundesliga,Shadow Striker
264,Eberechi Alvarez,CAM,Nice,England,Ligue 1,Classic 10
265,Arda Nkunku,CAM,Frankfurt,Colombia,Bundesliga,Playmaker
266,Eberechi Gibbs-White,CAM,Frankfurt,Portugal,Bundesliga,Shadow Striker
267,Paulo Fernandes,CAM,Real Madrid,Spain,La Liga,Classic 10
268,Dani Maddison,CAM,Monaco,Colombia,Ligue 1,Half Winger
269,Mason Eze,CAM,RB Leipzig,South Korea,Bundesliga,Classic 10
270,Martin Kubo,CAM,Dortmund,Morocco,Bundesliga,Playmaker
271,Christopher Musiala,CAM,Atalanta,Portugal,Serie A,Half Winger
272,Florian Musiala,CAM,Lille,Argentina,Ligue 1,Shadow Striker
273,James Guler,CAM,Lille,South Korea,Ligue 1,Playmaker
274,Lee Olmo,CAM,Atletico Madrid,Argentina,La Liga,Playmaker
275,Christopher Gibbs-White,CAM,Bayern Munich,Japan,Bundesliga,Shadow Striker
276,Takefusa Mount,CAM,Bayern Munich,Colombia,Bundesliga,Playmaker
277,Brahim Kubo,CAM,West Ham,Colombia,Premier League,Playmaker
278,Julian Szoboszlai,CAM,Real Betis,South Korea,La Liga,Shadow Striker
279,Xavi Simons,CAM,Bologna,Netherlands,Serie A,Shadow Striker
280,Takefusa Olmo,CAM,Bayer Leverkusen,Morocco,Bundesliga,Playmaker
281,Florian Wirtz,CAM,Inter Milan,Uruguay,Serie A,Half Winger
282,Mason Szoboszlai,CAM,Stuttgart,England,Bundesliga,Playmaker
283,Eberechi Szoboszlai,CAM,RB Leipzig,Brazil,Bundesliga,Half Winger
284,Phil Nkunku,CAM,PSG,Japan,Ligue 1,Classic 10
285,Cole Palmer,CAM,Atletico Madrid,Brazil,La Liga,Shadow Striker
286,Dominik Olmo,CAM,Brighton,Germany,Premier League,Half Winger
287,Lee Dybala,CAM,Brighton,Argentina,Premier League,Classic 10
288,Paulo Nkunku,CAM,Chelsea,Uruguay,Premier League,Half Winger
289,Lee Wirtz,CAM,Lille,Turkey,Ligue 1,Classic 10
290,Jamal Fernandes,CAM,Barcelona,England,La Liga,Playmaker
291,Dani Simons,CAM,Chelsea,Uruguay,Premier League,Half Winger
292,Morgan Maddison,CAM,Inter Milan,Germany,Serie A,Playmaker
293,Mason Dybala,CAM,Atalanta,Colombia,Serie A,Half Winger
294,Julian Kubo,CAM,Bayer Leverkusen,Colombia,Bundesliga,Shadow Striker
295,Bruno Alvarez,CAM,Chelsea,Uruguay,Premier League,Classic 10
296,Bruno Musiala,CAM,Frankfurt,Uruguay,Bundesliga,Shadow Striker
297,Morgan Mount,CAM,Marseille,Spain,Ligue 1,Shadow Striker
298,Martin Gibbs-White,CAM,Girona,Turkey,La Liga,Playmaker
299,Florian Olmo,CAM,Frankfurt,South Korea,Bundesliga,Shadow Striker
300,Phil Foden,CAM,Real Madrid,South Korea,La Liga,Classic 10
301,Phil Musiala,CAM,Real Sociedad,England,La Liga,Half Winger
302,Dominik Olmo,CAM,Nice,Germany,Ligue 1,Shadow Striker
303,Eberechi Alvarez,CAM,Inter Milan,Morocco,Serie A,Classic 10
304,Lee Alvarez,CAM,Arsenal,Japan,Premier League,Half Winger
305,Jamal Szoboszlai,CAM,Girona,Colombia,La Liga,Half Winger
306,Julian Odegaard,CAM,Marseille,Uruguay,Ligue 1,Half Winger
307,Dani Wirtz,CAM,Juventus,France,Serie A,Playmaker
308,James Odegaard,CAM,Lazio,South Korea,Serie A,Playmaker
309,James Kang-in,CAM,Lyon,Colombia,Ligue 1,Half Winger
310,Paulo Gibbs-White,CAM,Brest,South Korea,Ligue 1,Shadow Striker
311,Xavi Kang-in,CAM,AC Milan,England,Serie A,Classic 10
312,Morgan Nkunku,CAM,Marseille,Portugal,Ligue 1,Playmaker
313,Christopher Eze,CAM,Juventus,Morocco,Serie A,Half Winger
314,Dani Kang-in,CAM,Marseille,Turkey,Ligue 1,Half Winger
315,Arda Szoboszlai,CAM,Frankfurt,Portugal,Bundesliga,Shadow Striker
316,Martin Odegaard,CAM,RB Leipzig,Argentina,Bundesliga,Shadow Striker
317,Paulo Maddison,CAM,Nice,England,Ligue 1,Shadow Striker
318,Phil Alvarez,CAM,Bayern Munich,Portugal,Bundesliga,Classic 10
319,Dani Olmo,CAM,Real Sociedad,France,La Liga,Shadow Striker
320,Mason Kang-in,CAM,AC Milan,Morocco,Serie A,Playmaker
321,Morgan Kang-in,CAM,Marseille,Argentina,Ligue 1,Classic 10
322,Phil Gibbs-White,CAM,Nice,Colombia,Ligue 1,Half Winger
323,Lee Foden,CAM,Valencia,South Korea,La Liga,Classic 10
324,James Wirtz,CAM,Liverpool,Argentina,Premier League,Playmaker
325,Eberechi Simons,CAM,Atalanta,Japan,Serie A,Classic 10
326,Eberechi Mount,CAM,Chelsea,Brazil,Premier League,Playmaker
327,Bruno Szoboszlai,CAM,Bayer Leverkusen,Brazil,Bundesliga,Shadow Striker
328,Eberechi Foden,CAM,Marseille,Brazil,Ligue 1,Playmaker
329,Lee Gibbs-White,CAM,Manchester United,Argentina,Premier League,Half Winger
330,Jamal Eze,CAM,Napoli,Spain,Serie A,Classic 10
331,Florian Simons,CAM,Bologna,Japan,Serie A,Classic 10
332,Dani Kang-in,CAM,Arsenal,France,Premier League,Half Winger
333,Xavi Kubo,CAM,Arsenal,Netherlands,Premier League,Shadow Striker
334,Florian Alvarez,CAM,Inter Milan,Morocco,Serie A,Playmaker
335,Julian Alvarez,CAM,Athletic Club,Spain,La Liga,Classic 10
336,Mason Dybala,CAM,Bayer Leverkusen,Turkey,Bundesliga,Playmaker
337,Phil Maddison,CAM,Atalanta,Japan,Serie A,Classic 10
338,Takefusa Nkunku,CAM,AC Milan,Norway,Serie A,Classic 10
339,Mason Fernandes,CAM,Brest,Turkey,Ligue 1,Classic 10
340,Morgan Foden,CAM,Barcelona,Brazil,La Liga,Playmaker
341,Takefusa Gibbs-White,CAM,Real Sociedad,South Korea,La Liga,Shadow Striker
342,Takefusa Alvarez,CAM,Nice,France,Ligue 1,Half Winger
343,Christopher Odegaard,CAM,Athletic Club,France,La Liga,Shadow Striker
344,Dominik Mount,CAM,Chelsea,Morocco,Premier League,Playmaker
345,Phil Nkunku,CAM,Napoli,Morocco,Serie A,Playmaker
346,Takefusa Fernandes,CAM,Arsenal,Uruguay,Premier League,Classic 10
347,Phil Szoboszlai,CAM,Stuttgart,Portugal,Bundesliga,Classic 10
348,Paulo Olmo,CAM,Brighton,England,Premier League,Classic 10
349,Jamal Dybala,CAM,Stuttgart,Morocco,Bundesliga,Shadow Striker
350,Dani Maddison,CAM,AS Roma,England,Serie A,Half Winger
351,Cole Szoboszlai,CAM,Newcastle,Germany,Premier League,Classic 10
352,Dani Maddison,CAM,Lazio,Colombia,Serie A,Shadow Striker
353,Takefusa Szoboszlai,CAM,Arsenal,Japan,Premier League,Playmaker
354,Bruno Palmer,CAM,Newcastle,Spain,Premier League,Classic 10
355,Dominik Eze,CAM,Aston Villa,Germany,Premier League,Shadow Striker
356,Eberechi Nkunku,CAM,Atalanta,South Korea,Serie A,Half Winger
357,Jamal Olmo,CAM,Stuttgart,Brazil,Bundesliga,Classic 10
358,Arda Foden,CAM,RB Leipzig,Japan,Bundesliga,Shadow Striker
359,Paulo Wirtz,CAM,Newcastle,Colombia,Premier League,Classic 10
360,Takefusa Palmer,CAM,Inter Milan,Spain,Serie A,Classic 10
361,Takefusa Wirtz,CAM,Inter Milan,Turkey,Serie A,Classic 10
362,Christopher Guler,CAM,Tottenham,Morocco,Premier League,Shadow Striker
363,Dani Palmer,CAM,Lyon,Colombia,Ligue 1,Shadow Striker
364,Morgan Maddison,CAM,Atletico Madrid,Netherlands,La Liga,Half Winger
365,Bruno Gibbs-White,CAM,Athletic Club,South Korea,La Liga,Half Winger
366,Phil Palmer,CAM,Tottenham,Morocco,Premier League,Half Winger
